,comment,tokenized_comment,label,predicted_label,marks
15,คือ ตัวใหญ่ต้องพยายามไปนั่งเบาะเดี่ยว ถ้าไม่มีจิงๆ ก้ต้องมีความเกรงใจคนอื่นบ้างกุก้ตัวใหญ่ แต่กุไม่เคยทำให้คนอื่น รำคาญเลย ยกเว้น ญ นั่งข้างๆ ก้จะเบียดๆหน่อย,"['คน', 'คน', 'นั่ง', 'นั่ง', 'ตัว', 'ตัว', 'เบียด', 'ทำ', 'ก้', 'เกรงใจ']",,12,0
16,เกือบละ D,[],,0,-1
17,เคยมีฝรั่งฟ้องสายการบินได้หลายล้านเลย,"['บิน', 'ฟ้อง']",,0,-1
18,ถ้าฟ้องรถตู้อาจจะได้ 50.-,"['รถ', 'ตู้', 'ฟ้อง']",,9,-1
19,เชื่อไหม ? ความคิดของเขาที่บอกให้คนที่อ้วนมากจ่าย 100 เอาไปสองที่เลยนี้ไม่แปลกนะ ทำมานานเป็นสิบๆแล้ว ในวงการอากาศยานผดส ที่เข้าข่ายอ้วนมาก จนทางพนักงาน พิจารณาแล้วว่าไม่สามารถนั่งที่นั่งในชั้นประหยัดได้ เขาจะแนะนำให้คุณ ‘ซื้อสองที่ติดกัน’ หรือ ขยับไปซื้อ ที่นั่งชั้น Business ขึ้นไปแทน(ส่วนใหญ่ใช้วิธีที่สอง) ย้ำว่าให้ซื้อนะ ผดส จะวีนเหวี่ยงขออัพเกรดไม่ได้ เพราะ ความอ้วน ไม่ใช่สิทธิพิเศษ,"['คน', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'อ้วน', 'อ้วน', 'ทำ', 'จ่าย', 'สอง']",,5,-1
20,ฮื้ออ จริงนะ ไม่ได้อยากเหยียดแต่บางทีก็เกินไปจริงๆอ่ะ ขึ้นรถไฟฟ้า นางมากัน2คนไซส์บิ๊กเลย ยืนเอาตูดหนีบเสาคนเดียวหายไปครึ่งเสาแล้วหัวพิงอีก แบบยึดคนละเสาเลย,"['คน', 'คน', 'คน', 'รถ', 'เหยียด', 'อ่ะ', 'ยืน', 'ครึ่ง', 'ตูด', 'ไฟฟ้า']",,2,1
21,"มันไม่เกี่ยวหรอกครับ มันอยู่ที่นิสัยของคนคนผอม - ตัวแค่นี้จะไปช่วยอะไร ทำงานช่วยยกของอะไรก็ไม่ได้ , ทำงานห้องแอร์แค่นี้ก็หนาวละคนอื่นยังไม่หนาวเลย , พาไปกินบุฟเฟ่กินแค่เนี้ยเหรอ ไม่คุ้มเลน มิน่าถึงผอมคนอ้วนขึ้นรถนั่งกินที่คนอื่นเขา แต่ผมเคยเห็นคนผอมขึ้นรถเมล์คนเดียวนั่งสองเบาะก็มี, ที่จอดรถคร่อมสองเลนก็มีไม่ได้อยู่ที่อ้วนผอมครับ สันดานล้วนๆ ที่จะคิดแบบไหน","['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'อ้วน']",,2,1
22,จ่ายไป100 เดี๋ยวก็บ่นเรื่อง กลิ่นตัว หายใจแรง ต้องจ่ายซัก 1500 มั้ย ทั้งรถนั่งแม่งคนเดียวเลยงี้ป่ะ ?? 😂😂😂#อ้วนแต่ไม่ซีกุมีรถ 5555,"['คน', 'นั่ง', 'อ้วน', 'รถ', 'รถ', 'ตัว', 'จ่าย', 'จ่าย', 'เรื่อง', 'กลิ่น']",,9,1
23,คนอ้วนเราพอทำใจได้นะ แต่ไอ้พวกถ่างขาตอนนั่งนี่ใจหมาได้จริงๆิีอีกอย่างพวกสะพายกระเป๋าหลังขึ้น bts อะ เวลาโดยสารมึงถอดกระเป๋ามาซุกหว่างขาด้วย เปลืองที่ชิบหาย,"['คน', 'นั่ง', 'อ้วน', 'ขา', 'ตอน', 'เวลา', 'โดยสาร', 'อะ', 'ไอ้', 'กระเป๋า']",,4,-1
24,มันฮาตรงสองบรรทัดสุดท้ายนี่ละ คนละเหยียดเว้ยเฮ้ยยยยย,"['คน', 'สอง', 'ฮา', 'บรรทัดสุดท้าย']",,2,1
25,ช่วงหนึ่งเคยฮิตอ้วนที่เรา แต่ไปหนักหัวคนอื่น เลยออกความเห็นประมาณมันไม่ได้ลำบากแค่คนที่อ้วน มันลำบากถึงคนใกล้เคียงที่ต้องดูแล คนในสังคมที่ต้องอยู่ร่วมด้วย ผลคือโดนด่าเละ 555,"['คน', 'คน', 'คน', 'คน', 'อ้วน', 'โดน', 'ด่า', 'หนัก', 'ลำบาก', 'ลำบาก']",,2,1
26,เข้าใจนะ เราเป็นผญ.ได้นั่งแค่ครึ่งเบาะเรายังเจอมาแล้วเลย พี่คนนั้นอ้วนมาก?ป่าว..แม่งเสือกนั่งแหกขา แหกหาพ่อมันมั้งที่ก็แคบชิบหาย#ที่แคบเหยียดไม่ได้แต่เสือกแหกขาได้ #ทำไมผชต้องนั่งแหกขานั่งหนีบน้องสัก30นาทีไม่ได้หรอ,"['คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'เหยียด', 'เจอ', 'เบาะ', 'ขา']",,5,1
27,เจอคนตัวเหม็นขี้เต่าแบบแสบคอ หรือวัณโรคแดกไอตลอดทางไม่ใส่หน้ากากโหดกว่านี้อีก,"['คน', 'ตัว', 'เจอ', 'หน้า', 'เหม็น', 'แดก', 'ขี้', 'ใส่', 'เต่า', 'คอ']",,12,-1
28,😿 เพิ่งเจอในลิฟท์เย็นนี้นี่เอง .. สองนาง Big Size เสียงดังโฉ่งฉ่าง เข้าใจว่ากำลังคุยกับเพื่อนคงอรรถรส แต่เข้ามาเบียดเราที่ยืนอยู่ก่อนกระเด็นฟาดผนังลิฟท์ไปเลยจ้าา คิดว่าเค้าจะขอโทษ..ก็ไม่ 😂 ... ได้แต่คิดว่าเค้าคงไม่รู้ตัวคงไม่ได้ตั้งใจ 🤕,"['ตัว', 'เบียด', 'เจอ', 'เค้า', 'เค้า', 'สอง', 'รู้', 'ยืน', 'ขอโทษ', 'คุย']",,14,-1
29,ไม่มีใครอยากเบียดเจ้าของกระทู้หรอก ถ้าเขาทำน่าเกลียดเช่นเอาของมาวางบนเบาะ นั่งกางแขนกางขาไม่เกรงใจ ก็น่าเอาความแต่ถ้าไม่ได้เจอแบบนี้ทุกวันก็อย่าไปสนใจเลย เสียสุขภาพจิตเปล่าๆ,"['นั่ง', 'เบียด', 'เจอ', 'เบาะ', 'ทำ', 'หรอก', 'อย่า', 'วาง', 'เกรงใจ', 'แขน']",,7,-1
30,เชื่อซิคนอ้วนก็ไม่ได้มีความสุขนะ ที่ต้องไปเบียดเบียนคนอื่น แต่ถ้าอ้วนแล้วบินได้ก็บินกลับไปแล้ว ไม่ต้องมาสู้กับความคิดสายตาคนอื่นหรอก แต่อย่างไงจะเหยียดหรือไม่เนื้อส่วนเกินของเราก็ไปสร้างปัญหากับคนอื่นเขาจริงๆนั่นแหละจะโดนอะไรก็ต้องโดน,"['คน', 'คน', 'คน', 'คน', 'อ้วน', 'อ้วน', 'เหยียด', 'โดน', 'โดน', 'หรอก']",,2,1
31,คนที่เหยียดอ่ะ ส่วนใหญ่จะเมื่อยครับ,"['คน', 'เหยียด', 'อ่ะ', 'เมื่อย']",,2,1
32,"""ทำไมไม่ไห้คนตัวใหญ่เค้ากินเนื้อที่จ่ายแพงกว่า""เค้าอาจจะชอบโคขุนราชรีมากกว่าเนื้อวัวโกเบก็ได้ ทำไมต้องบังคับไห้เค้ากินเนื้อที่เค้าไม่ชอบอ่ะ อีกอย่างถ้าตัวใหญ่นั่งกินเนื้อมันกว่าจะอิ่มมันก็แพงอยู่แล้วป่ะ ยังจะไห้เค้ากินเนื้อเกรดสูงๆอีก","['คน', 'นั่ง', 'ตัว', 'ตัว', 'จ่าย', 'เค้า', 'เค้า', 'เค้า', 'เค้า', 'เค้า']",,14,-1
33,เรายังเคยนั่งรถตู้กับคนที่อ้วนกว่ามากๆเลย นั่งกินที่มากแต่เขาก็ถามนะว่าอึดอัดหรือเปล่า ก็อึดอัดแหละ แต่ไม่ได้รังเกียจ ถามว่าเรานั่งได้ไหมก็นั่งได้แหละ พอเราบอกว่าร้อน พี่เขาก็ปัดแอร์มาให้หมดเลย น่ารักฝุดๆ แต่คือเรารู้จักกันไง ไม่มีใครเค้าอยากอ้วนหรือตัวใหญ่ๆหรอก ก็เข้าใจทั้งสองฝ่ายแหละค่าา,"['คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'อ้วน', 'อ้วน', 'รถ', 'ตัว', 'ตู้']",,4,1
34,ไม่ได้เหยียด สายการบินบางเจ้า ไม่รับคนอ้วนน้ำหนักเกิน100กิโลหรือมีรอบเอวเกิน55นิ้วเพราะเบาะไม่รองรับกับขนาดของผดส.ถ้าอยากนั่งต้องซื้อ2เก้าอี้หรือซื้อคลาสอื่นแทน,"['คน', 'นั่ง', 'อ้วน', 'เหยียด', 'เบาะ', 'ซื้อ', 'ซื้อ', 'ขนาด', 'น้ำหนัก', 'สาย']",,4,-1
35,ตัวใหญ่แล้วเค้ายังเป็น1คนเท่าเราหรือเปล่าหละครับ ค่าโดยสารเขาคิด 1คน50บาท การที่เขาตัวใหญ่ก็ไม่ได้หมายความว่าเขาจะแยกเป็น2คนแล้วทำไมถึงต้องเก็บค่าโดยสารเขาเป็น100บาทหละ?,"['คน', 'คน', 'คน', 'ตัว', 'ตัว', 'เค้า', 'ค่า', 'ค่า', 'โดยสาร', 'โดยสาร']",,2,1
36,บางครั้ง...อะไรก็ตามแต่ การใช้พื้นที่สาธารณะ รถโดยสารสาธารณะ หรืออะไรที่มันใช้ร่วมกับคนอื่น....กฎและสิทธิ มันจะประกาศชัดเจนอยู่แล้ว...คุณขึ้นเครื่องบิน ดูหนัง คนตัวใหญ่ตัวอ้วน เช่นเพื่อนผม เค้ารู้ตัว เค้าจะซื้อ2ที่ไปเลย ไม่ว่าดูหนังหรือขึ้นเครื่องบิน...เพราะ มันมีพื้นที่จำกัดและห้ามเลยอาณาเขตอยู่แล้ว หากคุณอ้วนนั่งไม่ได้ในเบาะเดียว สายการบินจะต้องจำเป็นให้คุณซื้อสองที่นั่งเพื่อไม่รบกวนผู้อื่น.....แต่อย่างรถเมล์ บางครั้งเบาะยาว แถมไม่บอกสิทธิ์อยู่แล้ว ขึ้นไปจ่ายเงิน จะนั่งไหน นั่งเยอะน้อย มันแล้วแต่ความเหมาะสม.... คนอ้วน เค้านั่งเต็มอัตราศึกอยู่แล้น....ประเด็น ถ้าเป็นผม ผมจะไม่ไปนั่งเบียด แต่จะยืน... และจะไม่มานั่งทวงสิทธิ์แบบตุ้ดๆโง่งี่เง่าเยี่ยงนี้....,"['คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง']",,4,1
37,ที่ดาวนาเม็ก รัฐบาลเก็บภาษีคนอ้วนเพิ่มด้วยครับ มีผลวิจัยออกมาแล้วว่า คนอ้วนเยอะ คนป่วยในอนาคตจะเยอะตาม รัฐจะต้องเสียงบประมาณในการรักษาพยาบาลเยอะ แทนที่จะเอาเงินส่วนนั้นไปทำอย่างอื่น,"['คน', 'คน', 'คน', 'อ้วน', 'อ้วน', 'ทำ', 'เงิน', 'แทน', 'ป่วย', 'อนาคต']",,2,1
38,ตอนเรานั่งเราก็พยายามลีบตัวให้เล็กที่สุด พยายามไม่ให้เหงื่อออก เอาผ้าซับตลอด สำรวจกลิ่นตัวตลอด ไม่ให้ไปรบกวนคนอื่น พยายามหาเบาะเดี่ยวนั่ง ขึ้นวินก็ไม่กล้าขึ้นเดินเอา กลัวไปรบกวนคนอื่น,"['คน', 'คน', 'นั่ง', 'นั่ง', 'ตัว', 'ตัว', 'ตอน', 'กลัว', 'กลิ่น', 'เดิน']",,12,1
39,เนี่ยแหละมันถึงได้เถียงกันไม่จบ เพราะบางคนมองว่านั่ง 2ที่นั่ง ต้องเสียสองเท่า แต่บางคนบอกว่าแต่เขาเป็น 1 คน เพราะงั้นวิธีแก้ปัญหาคือ คนให้บริการต้องกำหนดให้ชัดเจนว่า คิดค่าบริการรายคน หรือ รายที่นั่ง ย่างสายการบินต่างๆก็จะเรียกว่า ที่นั่งไปเลย ถ้านั่งสองที่ ถึง 1 คนก็ต้องเสียทั้ง 2 ที่นั่ง,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'นั่ง', 'นั่ง']",,2,1
40,ผมอ้วนนะ หนักประมาณ 100 นึงแต่ไม่ขี้นรถสาธารณะสมมุติวันนึงมีเหตุจำเป็นต้องขึ้นรถสาธารณะ ผมยอมจ่ายค่าโดยสาร 2 เท่า ตรงที่นั่งเบาะคู่ แต่นั่งคนเดียว และไม่ให้คนอื่นนั่งด้วยคิดว่าจะมีคนถ่ายคลิปประจาน หรือด่าผมไหม,"['คน', 'คน', 'คน', 'นั่ง', 'นั่ง', 'อ้วน', 'รถ', 'รถ', 'ผม', 'ผม']",,2,1
41,เอาจริงผมว่าก็ควรเก็บเพิ่ม อย่างมอไซด์วิน แล้วเจออ้วนๆ นี่เกรงว่ารถอาจจะมีอะไรบุบสลายมั่งนะ จะโดนรุมด่ามั้ยเนี่ย,"['อ้วน', 'รถ', 'ผม', 'โดน', 'เจอ', 'ด่า', 'วิน']",,3,1
42,ใช่ใช่ไหม ???,['ไหม'],,0,-1
43,คนละคนกันครับ,"['คน', 'คน']",,2,1
44,ผมตัวใหญ่ แต่ไม่ถึงกับอ้วนน้ำอัดลม แค่ตัวใหญ่และแขนก็ใหญ่ แต่รักษาความสะอาดอย่างดีเพราะเป็นคนเ้หงื่อออกง่าย พกทิชชู่เปียกติดตัวตลอด เวลาขึ้นรถตู้มีคนมานั่งเบียดก็พยายามทำตัวให้เล็กหุบแขนเข้ามาแทบอยากให้ไปโดนเนื้อตัวเขา ... เป็นคนไม่ชอบถูกเนื้อถูกตัว มันรู้สึกแปลก ๆ เวลาผิวหนังของเราไปสัมผัสกับผิวหนังของคนอื่น,"['คน', 'คน', 'คน', 'คน', 'นั่ง', 'อ้วน', 'รถ', 'ตัว', 'ตัว', 'ตัว']",,2,1
45,เคยได้ยินว่าเมืองนอกบนเครื่องบินน้ำหนักเกินเท่าไรต้องซื้อ 2 ที่นั่งไปเลย เมืองไทยไม่ค่อยมีปัญหานี้เลยไม่แก้ปัญหากันเท่าไร,"['นั่ง', 'ซื้อ', 'บิน', 'น้ำหนัก', 'ปัญหา', 'ปัญหา', 'เครื่อง', 'แก้']",,14,1
46,"อ่านโพสนี้แล้ว บอกกับตัวเอง ""กูต้องลดน้ำหนักโว้ยยย กูต้องทำให้ได้""ขอโทษ ถ้าครั้งนึงเคยไปเบียดเบียนพื้นที่สาธารณะของใครหลายๆคน ต่อไปนี้เราจะพยายามลดน้ำหนักแล้วนะ ขอบคุณที่เตือนกัน 💪🏻💪🏻💪🏻💪🏻","['คน', 'ตัว', 'ทำ', 'นึง', 'อ่าน', 'น้ำหนัก', 'น้ำหนัก', 'ขอโทษ', 'พื้นที่', 'ลด']",,0,-1
47,ใครว่าเขาพูดเล่น ผมขอแค้น เอ้ย ค้านเลยครับ เพราะคล้ายๆ กับเรื่องใน ตปท. บนเครื่องบินที่มีชายคนนึงฟ้องสายการบินเพราะอึดอัดตอนนั่งใกล้คนอ้วนอีกข่าวที่นึกถึงเรื่องนี้ ก็คือคนอ้วนโดนคิดสองราคา ลืมละเกิดช่วงไหน แต่ที่ไทยแน่นอน,"['คน', 'คน', 'คน', 'นั่ง', 'อ้วน', 'อ้วน', 'ผม', 'โดน', 'นึง', 'เรื่อง']",,2,1
48,ในพื้นที่คับแคบ ไม่มีใครที่เดือดร้อนอยู่ฝ่ายเดียวมันง่ายที่จะบอกว่าคนอื่นทำเราเดือดร้อนหรือเสียประโยชน์ และเราไม่น่าจะต้องมาอดทน ในส่วนที่มันเห็นง่ายๆอย่างรูปลักษณ์ภายนอก แต่อย่าลืมว่าคนอื่นก็จ่ายเงินเท่าเรา และทนกับเราเหมือนกัน ในเรื่องที่เราอาจทำให้คนอื่นเดือดร้อนหรือเสียประโยชน์ เช่นคุยโทรศัพท์เสียงดัง กลิ่นปาก กลิ่นตัว และอื่นๆ เว้นเสียแต่ว่าเรามั่นใจว่าเราเป็นคนสมบูรณ์แบบจริงๆอย่างไรก็ตาม การให้คนตัวใหญ่จ่ายเพิ่มเพื่อจะได้นั่งหลายๆเบาะ เป็นเรื่องที่ผู้ให้บริการยอมรับได้ เพราะได้เงินเท่าเดิม และทำให้ผู้โดยสารสบาย ไม่รบกวนกัน มีตัวอย่างแล้วในอุตสาหกรรมการบิน บางสายการบินมีนโยบายให้ผู้โดยสารน้ำหนักมากหนึ่งคนต้องจ่ายเงินซื้อที่นั่งeconomy classสองที่นั่ง แต่อยากนำมาใช้กับรถตู้จริงๆหรือ? สมมติว่ามีคนต่อแถวมานาน คนตัวใหญ่ขึ้นไปนั่งพร้อมบอกคนขับว่าอึดอัด ขอเหมาทั้งแถว ทำให้คนที่ต่อแถวส่วนหนึ่งต้องรอขึ้นคันถัดไป จะยอมรับได้ไหม?,"['คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน', 'คน']",,2,1
49,นายอ้วนเรารับได้ ไม่เป็นไร เดี๋ยวเขยิบให้ นิดนึง ถือคติคับที่อยู่ได้ คับใจอยู่ยาก เเต่กลิ่นตัวนี่ ไม่ไหวจริงๆ นึกว่าพกน้ำส้มสายชู ขึ้นรถมาด้วย พอเเล่นไปสักระยะนึง พี่อ้วนเสือกหลับกรนอีก  เจอบ่อยมาก เวลานั่งรถโดยสารข้ามจังหวัด,"['นั่ง', 'รถ', 'รถ', 'ตัว', 'เจอ', 'นึง', 'เวลา', 'โดยสาร', 'นึก', 'น้ำ']",,9,0
