,comment,tokenized_comment,label,predicted_label,marks
11,พนักงานทำหน้าเป็นตูดเกือบทุกคน ประมาณว่าเหมือนถูกบังคับให้มาทำงานยังงั้นแหละ เห็นแล้วพลอย เครียดไปด้วย,"['พนักงาน', 'ทำ', 'หน้า', 'ทำ', 'คน', 'เหมือน', 'งาน', 'ตูด', 'บังคับ', 'เครียด', 'งั้น']",,3,1
12,เอ็กเพรสนี่มีการอบรมพนักงานบ้างป่าว ควบคุมอารมไม่เป็น ถามราคาต้องทำหน้าไม่พอใจคือถ้าติดราคาก็ไม่ถามหรอกราคาไม่มี แถมให้ยิงบาโค้ดสมาชิก ยิงส่วนลดต้องทำหน้าแบบรำคาน กดเครื่องแรงๆประชดประชัน เข้าร้านอื่นก็ได้วะ,"['พนักงาน', 'ทำ', 'หน้า', 'ทำ', 'หน้า', 'ราคา', 'ราคา', 'ราคา', 'ลด', 'ถาม', 'ถาม']",,3,1
13,เค้าเตอร์มีเกือบ100ช่อง เปิดให้จ่ายตังไม่ถึง10ช่อง พี่ทำไว้โก้ๆหรอ ต่อคิวจ่ายตังกันไปดิ 10กว่านาที,"['ทำ', 'จ่าย', 'จ่าย', 'ช่อง', 'ช่อง', 'คิว', 'ตัง', 'ตัง', 'หรอ', 'เค้าเตอร์', 'นาที']",,4,1
14,เลือกผัก เลือกแล้ว เลือกอีก พอมาคิดเงินพนักงานยัดผักใส่ถุงจนผักหัก โอ้ยใจ ใจสลาย,"['พนักงาน', 'เงิน', 'ถุง', 'ใส่', 'ผัก', 'ผัก', 'ผัก', 'เลือก', 'เลือก', 'เลือก', 'ยัด']",,0,-1
15,มารยาทพนักงาน เซเว่นยังคุณภาพดีกว่าหน่อยนึง แบบว่าเหี้ยทั้งคู่เลย,"['พนักงาน', 'ดี', 'มารยาท', 'นึง', 'เซเว่น', 'คุณภาพ', 'เหี้ย', 'คู่']",,1,0
16,ราคาสินค้า ตอนโปรโมชั่น บางอันหาไม่เจอ เหมือนพนักงานเอาไปซ่อน ให้ลูกค้าวิ่งไล่หา #ไอ้ซั้ซไม่ใช่มอญซ่อนผ้า ปล.รปภ บางสาขา หน้าตาดุมาก เวลาเข้าห้างนึกว่าทำไรผิดตลอดเวลา 😂,"['พนักงาน', 'ลูกค้า', 'เหมือน', 'เวลา', 'เวลา', 'สินค้า', 'ราคา', 'เจอ', 'ตอน', 'ห้าง', 'หา']",,0,-1
17,เทสโก้โลตัสสาขาบางกะปิทีวีตัวนี้อยู่บริเวณหน้าร้าน Treephaphan Spa ชั้นลอย(ชั้นเดียวกับไปรษณีย์)ใกล้ประตูออกลานจอดรถวันนั้นผมเดินชนเต็มๆ และผมเชื่อว่าต้องมีลูกค้าท่านอื่นเดินชนทีวีตัวนี้มาแล้วหลายครั้ง มันไม่ควรอยู่ตรงนี้นะครับเพราะนี่คือทางเดิน และมันก็ไม่ได้ชิดเข้ามุมกำแพงเลย เดินเลี้ยวขวาจากทีวีตัวนี้ไปก็ลงไปชั้นG ซึ่งมันเป็นทางหลักที่คนเข็นรถลงจากซุปเปอร์ฯใช้ประจำนะครับ ไม่ใช่ทางลับที่ไม่มีคนเดินผ่าน เพดานชั้นนี้ก็ค่อนข้างต่ำอยู่แล้วแถมเอาทีวีตัวนี้มาติด ต้องคนที่มีความสูง150ลงไปเท่านั้นแหล่ะครับที่จะเดินลอดผ่านได้ (ผมสูง175)ผมเชื่อว่าทางตัวเทสโก้โลตัสยึดมั่นในการบริการที่ดีและอำนวยความสะดวกต่อลูกค้าที่มาใช้บริการ แต่ทีวีตัวนี้ ***ไม่อำนวยความสะดวก*** แถมยังทำผมเจ็บตัวอีก ผมเข้าใจว่าผมเองในฐานะลูกค้าก็ควรระมัดระวังตัวเองให้มากกว่านี้อยู่แล้ว แต่สถานที่ก็ควรมีการจัดการที่ดี สะดวก ปลอดภัยร่วมด้วยนะครับหวังว่าจะได้รับการแก้ไขนะครับ เพื่อที่จะได้ไม่มีใครเจ็บตัวอีก ขอบคุณ!,"['สาขา', 'ลูกค้า', 'ลูกค้า', 'ลูกค้า', 'หน้า', 'ทำ', 'คน', 'คน', 'คน', 'รถ', 'รถ']",,0,-1
18,ถุงบางมากนี่เรื่องจริง ลูกค้าบางคนเค้าไม่ได้มีรถส่วนตัว หิ้วขึ้นสองแถว ขึ้นรถเมล์ ก็ต้องเข้าใจเค้าด้วย ขอถุงซ้อนเพิ่มก็กลายเป็นเพิ่มการใช้ถุงพลาสติกเข้าไปอีก ก็ทำให้มันหนากว่านี้หน่อยแล้วใช้ใบเดียวไม่ดีกว่าเหรออย่างโลตัสเอกเพรส ส่วนใหญ่คืออยู่ในเขตหมู่บ้าน ลูกค้าเดินมาซื้อ ขี่จักรยานมาซื้อ ถ้าไม่ขอให้ซ้อนถุงนี่หิ้วกลับไม่ถึงบ้านค่ะ บางทีเลยต้องเข้า 7-11 ถ้าซื้อของที่มีเหมือนกัน,"['ลูกค้า', 'ลูกค้า', 'ทำ', 'คน', 'ถุง', 'ถุง', 'ถุง', 'ถุง', 'ซื้อ', 'ซื้อ', 'ซื้อ']",,2,1
19,น่าเห็นใจนะฮะ พนักงานโดนสวดยับตั้งแต่เช้า พอหน้าบูด ลูกค้าก็ไม่ชอบ,"['พนักงาน', 'ลูกค้า', 'หน้า', 'โดน', 'ชอบ', 'บูด', 'เช้า', 'เห็นใจ', 'ฮะ']",,12,1
20,พนักงานเอ็กเพรส บางสาขาหน้าบูดมาก  และทำงานช้ามากกกกกกถามอะไร ไม่ค่อยรู้เรื่อง แก้ไขสถานการณ์เฉพาะหน้าได้ไม่ดี ฟีลแบบ ฉันยืนรอจ่ายตังค์ มีคนยืนเคาเตอร์ 3 คน เปิดแค่เลนเดียว สองคนยืนคุยกัน รุ่นน้องทำงานคนเดียวอะไรเงี๊ย ลูกค้าจะรอ 4-5 คนก็รอไปเถอะ น่ารำคาญมากบางทีไอ้เราก็รอได้นะ แต่นึกโมโหแทนเด็กใหม่อะ โอ๊ยหนู... โดนเอาเปรียบแบบน้ำท่วมปาก พูดอะไรก็ไม่ได้ นี่ลูกค้าแบกของหนักๆรองี้ ไม่มีท่าทีว่าจะรีบกับเรา,"['พนักงาน', 'สาขา', 'ลูกค้า', 'ลูกค้า', 'หน้า', 'ทำ', 'ทำ', 'คน', 'คน', 'คน', 'คน']",,3,1
21,ช่องจ่ายเยอะ แต่เปิดไม่กี่ช่อง  คิวยาวไป เพลียยยยยพระราม 3  เลยค่ะ,"['จ่าย', 'ช่อง', 'ช่อง', 'คิว', 'กี่']",,4,0
22,โลตัสเอ็กซ์เพรสสาขาหน้า รพ.สรรพสิทธิประสงค์ จ.อุบลราชธานี และสาขาใหญ่ถนนชยางกูร ไม่ว่าจะแผนกใด ๆ  สีหน้า ท่าทาง การบริการ เซอร์วิสมายด์ ไม่มี !!!!!!!  อยากคอมเพลนหลายครั้งแล้วค่ะ ที่ทำได้ก็แค่ปล่อยผ่าน จนตอนนี้มันทำให้เราไม่อยากเข้าไปซื้อของที่ห้างนี้เลย ..,"['สาขา', 'สาขา', 'หน้า', 'ทำ', 'ทำ', 'ซื้อ', 'บริการ', 'ตอน', 'ห้าง', 'แผนก', 'ปล่อย']",,15,-1
23,เช็คเอาท์ ... หน้าจะงอไปไหนสวัสดีค่ะมีอะไรให้ช่วยมั้ยคะโอกาสหน้าเชิญใหม่ค่ะมีคลับการ์ดมั้ยคะแค่เนี้ยะ ... จะตายมั้ย,"['หน้า', 'หน้า', 'การ์ด', 'คลับ', 'เช็ค', 'งอ', 'สวัสดี', 'ตาย', 'โอกาส']",,12,-1
24,"พนักงานโลตัสสัตหีบบริการดีฮะ  แต่อยากบอกว่าถ้าลูกค้าประจำที่คุณจำหน้าได้มาซื้อของไม่ต้องตะโกนบอกเพื่อนก็ได้ฮะว่า""เฮ้ยๆ คนนี้เค้าไม่ชอบให้ใส่ถุง""    แบบบอกแค่ว่า ""ลูกค้าเข็นของไปใส่ท้ายรถเอง "" ก็ได้  ผมอายฮะ","['พนักงาน', 'ลูกค้า', 'ลูกค้า', 'หน้า', 'คน', 'ถุง', 'ซื้อ', 'รถ', 'ดี', 'บริการ', 'ใส่']",,11,1
25,ราคาบนเชลล์ช่วยติดให้ตรงกับสินค้าด้วยค่ะ เคยซื้อสังฆทานในป้ายบอก 199 พอคิดจริง 299 อิเวนน,"['ซื้อ', 'สินค้า', 'ราคา', 'ติด', 'ป้าย']",,14,1
26,ค.ว.ย ค่ะ พนักงานแม่งเกือบทุกคนเลย ไม่มีความคิด วิเคราะห์ แยกแยะไม่ได้ว่าเวลาลูกค้าซื้อผัก ซื้อหมูบด น้ำยาล้างจาน น้ำปลา หรืออะไรก็แล้วแต่ ถุงมึงมีใบใหญ่สุดแค่ไหนมึงเอามาใส่แม่งรวมกันหมดทุกอย่าง ผักกูเลือกดีๆเอาไม่ช้ำ อีดอกเอาไว้ล่างสุด เอาแพ็คหมูบดทับอีกเหี้ย ยัง‼️ยังไม่พอมึงเอาน้ำยาล้างจานน้ำปลาว่าทับแพ็คหมู สรุปกูถึงบ้าน ผักเละ แพ็คหมูแตก ติดอยู่กับถุงน้ำยาล้างจาน อีสัส เอาไว้ให้โครตเหง้ามึงกินมั้ยได้ของแบบนี้ แยกไม่เป็น สมองคิดไม่ออกว่ามันต้องแยก🖕🏻🖕🏻🖕🏻,"['พนักงาน', 'ลูกค้า', 'คน', 'ถุง', 'ถุง', 'ซื้อ', 'ซื้อ', 'เวลา', 'ดี', 'ใส่', 'ติด']",,0,-1
27,โลตัสเอ็กซ์​เพลสสาขายางตลาด.. จ.กาฬสินธุ์​ค่ะแย่มากวันนั้นไปซื้อแพมเพิสให้ลูกยืนรอคิดเงินมันไม่คิดให้ทั้งที่ไม่มีลุกค้ามันยืนคุยกันสองคนหยอกล้อไปมามองหน้าเราเฉยเลยไม่พุดอะไรสักคำยืนรอ3นาทีได้ค่ะตอนนั้นโมโหมากว่าจะด่าเหมือนกันเลยไม่ทำ​  เดินมาอีกช่องนึงเขาก็คิดเงินให้ประเด็น​คือ1มันไม่ใส่ใจลุกค้าถึงจะซื้อชิ้นเดียวก็เถอะ2ถ้าเครื่องไม่พร้อมใช้งานมันน่าจะบอกนี่มันยืนยุ2คน2เคาเตอร์​คิดออกมั้ยเวลายืนคิดเงินเคาเตอร์​มันหันหลังชนกันนี่มันเล่นหันหน้ามาคุยกันหยอกล้อกันไม่คิดเงินไม่สนใจเรายืนรอตั้งนานสุดท้ายก็เลยเดินไปช่องอื่นเสียความรุ้สึกมาก,"['สาขา', 'หน้า', 'ทำ', 'หน้า', 'เงิน', 'เงิน', 'เงิน', 'เงิน', 'คน', 'ซื้อ', 'ซื้อ']",,7,0
28,Express ทุกสาขา!!! พนักงานหายไปไหน?? ต้องเดินตามหา พอเจอแลเวเรียกมาคิดเงิน ก็อารมณ์เสียหน้าบูด... สงสัยลูกค้าจะรบกวนเค้ามั้ง??? ของน่ะ จะขายมั้ย???,"['พนักงาน', 'สาขา', 'ลูกค้า', 'หน้า', 'เงิน', 'เดิน', 'เจอ', 'ขาย', 'หา', 'บูด', 'หาย']",,10,1
29,โลตลาด พนง.ปากตลาด นินทาลค.เผาขน ตะโกนโหวกเหวกข้ามหัวลค. วันหวยออกสนั่นเป็นพิเศษ เห็นพฤติกรรมแล้วแย่ ปรับปรุงภาพลักษณ์เถอะ,"['ปรับปรุง', 'พนง', 'แย่', 'ตะโกน', 'ข้าม', 'หวย', 'พิเศษ', 'พฤติกรรม']",,0,-1
30,ไม่อยากจะเม้าความสาระพัดของโลตัส ในฐานะที่เคยเป็นพนง.มาก่อน อิอิ,"['โลตัส', 'พนง', 'ฐานะ']",,5,1
31,พนักงานเหมือนไม่อยากทำงาน หน้าหงิกหน้างอ แต่ก็มีบางคนที่น่ารัก พูดดีส่วนน้อย,"['พนักงาน', 'ทำ', 'หน้า', 'คน', 'เหมือน', 'งาน', 'ดี', 'รัก', 'งอ']",,3,1
32,ไม่ต้องตัดแต้มเป็นคูปองเงินได้ไหมอ่ะ ไม่เคยได้ใช้เพราะ คูปองมันหายก่อน เอาแบบ พอไปซื้อแล้วแต้มครบค่อยถามว่าตัดแต้มไหมคะ อะไรแบบนี้จะดีกว่า  แล้วยังมีโบชัวมาบอกอีกนะ แต่ม เท่านี้แล้วเป็นตั๋วหนังได้ แล้วเล่นตัดไปแล้วมันเหลือแต้ม150จะทำไรได้,"['เงิน', 'ซื้อ', 'ดี', 'ถาม', 'อ่ะ', 'หาย', 'เล่น', 'ไหม', 'ไหม', 'คู', 'ปอง']",,0,-1
33,ช่องจ่ายเงินรื้ออกบ้างก็ได้ถ้าไม่มีคนทำ วันเสาร์อาทิตย์รอนานโคตร,"['ทำ', 'เงิน', 'คน', 'จ่าย', 'ช่อง', 'เสาร์', 'อาทิตย์', 'โคตร']",,4,1
34,ตะคิดเป็น 25 สต. 50สต. 75สต. ทำไม ในเมื่อลวท้ายด้วยราคาพวกนี้ ตอนคิดเงินปัดเศษขึ้นไปเต็มบาทเลยพอเราเอาเหรียญสตางค์ที่เป็นเศษให้ ชักสีหน้า ไม่อยากรับ,"['เงิน', 'ราคา', 'ตอน', 'เต็ม', 'บาท', 'สีหน้า', 'เศษ', 'สตางค์', 'เศษ', 'ชัก']",,14,-1
35,Lotus สาขายโสธร-เปิดใหม่ พนง.แอบโกง Give Card ลูกค้า(กุเอง) จ่ายหลายใบแล้วทำเนียนว่ามีใบนึงชำรุดใช้ไม่ได้แล้วพอขอคืนก็สลับใบที่รูดใช้แล้วมาแทน แจ้งผู้จัดการขอดูกล้องวงจรปิดไม่ยอมให้ดูเลยต้องขู่ว่าจะแจ้งความถึงยอมคืนให้ แต่ไม่มีคำขอโทษใดๆ จาก พนง.-ติด…See more,"['ลูกค้า', 'จ่าย', 'พนง', 'พนง', 'ติด', 'ใบ', 'ใบ', 'ใบ', 'ดู', 'ดู', 'นึง']",,0,-1
36,เราก็ไม่รู้ระบบการทำงานของเค้านะ แต่เวลาไปซื้อของชอบเอาของมาเติม ลากเกะกะกันไปหมดทั้งรถเข็นคนซื้อทั้งรถพนักงาน แล้วก็ติดขัดจะไปต่อก็ไม่ได้จะถอยก็ไม่ได้ แล้วไม่ใช่จะรีบเติมให้เสร็จนะ ยืนเล่นกันแหย่กัน เกะกะไปหมด โลตัสเอ็กซ์เพรส เวลาจ่ายด้วยบัตรเครดิตเครื่องเสียตลอด กริยาพนักงานก็แย่,"['พนักงาน', 'พนักงาน', 'ทำ', 'โลตัส', 'คน', 'ซื้อ', 'ซื้อ', 'งาน', 'รถ', 'รถ', 'เวลา']",,11,1
37,ปรับปรุงเรื่องของพรีเมี่ยม จะทำมาทำห่าไร กูอุตส่าเก็บแสตมป์ เอาไปแลก บอกให้ลงชื่อไว้ ของมาจะโทแจ้ง 3 เดือนผ่านไป ไม่มีการติดต่อใดๆ กูไปถามสาขาที่จอง บอกของยังไม่มา อีกเดือนนึงไปถาม ของก็ยังไม่มา นี่กูรอมาจะปีนึงละ สรุปยังไม่ได้ของ ห่วยแตก ทำของพรีเมี่ยมออกมามันต้องมีกำหนดการรับของในการจองสิ นี่แม่งให้เศษกระดาษมา ห่วยแตกสุดๆ,"['สาขา', 'ทำ', 'ทำ', 'ทำ', 'ปรับปรุง', 'เรื่อง', 'ถาม', 'ถาม', 'นึง', 'นึง', 'แม่ง']",,0,-1
38,สาขาใหญ่ๆ คนเยอะต่อแถวจ่ายเงินช้า ช่องเยอะแต่ไม่เปิดทำมาเพื่อ???,"['สาขา', 'ทำ', 'เงิน', 'คน', 'จ่าย', 'ช่อง', 'แถว']",,4,1
39,สาขามหาชัย(คลองครุ) พนง.แคชเชียร์ชอบคุยกันข้ามหัวลูกค้า แถมคิดเงินผิดโดยการยิงสินค้าซ้ำกัน 2 ครั้ง ดีนะที่เช็คบิลล์ใบเสร็จก่อนเดินออกจากห้าง นี้เลยรีบไปที่จุดบริการเพื่อทำการรีฟันเงินคืน และต่อว่าพนง.แคชเชียร์หน่อยนึง (ปล. คิดเงินเกินกับสาขานี้มา 3 ครั้งแล้ว ) 👎👎👎,"['สาขา', 'ลูกค้า', 'ทำ', 'เงิน', 'เงิน', 'เงิน', 'ดี', 'บริการ', 'สินค้า', 'เดิน', 'ชอบ']",,10,1
40,โลตัสเอ็กเพรส พนักงานหน้าหงิกมากค่ะ ถามอะไรก็ไม่รู้เรื่อง เลยไม่ค่อยเข้า ล่าสุดเรื่องอีแสตมป์ คุยไปคุยมายังไม่ทันรู้เรื่องเดินหนีจ้าคือไรลูกค้าก็ไม่มี นี่ถ้าไม่อยากไปร่มลายลิลัคคุมะนะ อย่างหวังว่าจะเข้า555,"['พนักงาน', 'ลูกค้า', 'หน้า', 'โลตัส', 'เรื่อง', 'เรื่อง', 'เรื่อง', 'เดิน', 'ถาม', 'รู้', 'คุย']",,3,1
41,90% เปอร์เซ็นต์ของคอมเม้นต์นี่ เกี่ยวกับพนักงานล้วนๆ 555รวมทั้งของนี่ด้วย,['พนักงาน'],,1,1
42,พนักงานทั้งเอ็กซ์เพรสและสาขาใหญ่ บริษัทควรอบรมเรื่องเซอร์วิสมายด์ทุกๆสัปดาห์,"['พนักงาน', 'สาขา', 'เรื่อง', 'อบรม', 'เอ็กซ์เพรส', 'เซอร์วิสมายด์']",,15,1
43,สาขาพัทลุง เหม็นคาวมากกกกกกกกก แถมแผนกของกินของสดแม่งไปไหนหมด มีแต่เสื้อผ้าละ,"['สาขา', 'แถม', 'กิน', 'สด', 'แม่ง', 'แผนก', 'เหม็น', 'เสื้อผ้า']",,15,-1
44,โลตัสเล็ก  ฝากอบรม พนักงานด้วยน่ะครับ มาซื้อของไม่ได้มาขอ แล้วฝากไปถึงรถของ Linfox ที่มาส่งของช่วยทำนิสัยดีๆหน่อยน่ะครับ บางคันนี้กร่างมาก รถซื้อของในร้านมันอยู่ มาถึงตะโกนให้ขยับรถ กำลังคิดตังค์อยู่ ออกมาทำหน้ากระฟัดกระเฟียดอีก  เอ้อ..โลตัสเล็กแถวผมที่เจ๊งไปก็เพราะพนักงานทำหน้าไม่เเขกนี้เเหละ,"['พนักงาน', 'พนักงาน', 'ทำ', 'ทำ', 'หน้า', 'ทำ', 'หน้า', 'โลตัส', 'ซื้อ', 'ซื้อ', 'รถ']",,3,1
45,มารยาท คำพูดคำจา ไม่ต้องเพราะหรอกคะแค่ไม่ตะคอก ไม่ชักสีหน้าใสเวลาถามสินค้าอยู่ตรงไหนเวลาไม่เจอ. ...ตอนนี้ก็เลือกที่จะไม่ไปใช้บริการแล้ว มีcentral มาเปิดใกล้บ้าน สบายใจ,"['เวลา', 'เวลา', 'บริการ', 'สินค้า', 'มารยาท', 'ถาม', 'เจอ', 'ตอน', 'บ้าน', 'หรอก', 'สีหน้า']",,0,-1
46,ช่องจ่ายเงินด่วนสินค้าม่เกิน10ชิ้น คือ อย่ามีเรย เห็นเข็นมาจ่ายเต็มรถเข็นตลอด พนักงานท้วงติงสักนิด ก้อไม่มีห่วยมาก รอคิวเป็นชาติ ช่องเยอะแยะเปิด แค่3 ช่องกุจะบ้า,"['พนักงาน', 'เงิน', 'รถ', 'จ่าย', 'จ่าย', 'สินค้า', 'รอ', 'เข็น', 'เข็น', 'ช่อง', 'ช่อง']",,4,1
47,พนักงานชอบเหวี่ยง กระชากเงินจากมือ ยื่นเงินทอนให้แบบไม่เต็มใจ โดยเฉพาะพนักงานพาร์ทไทม์,"['พนักงาน', 'พนักงาน', 'เงิน', 'มือ', 'เต็มใจ']",,6,1
48,หน้าตาไม่รับแขกของพนักงานและห้องน้ำไม่สอาด ไปสาขาไหนก็เหมือนกันก๊อบปี่กันมาเลย,"['พนักงาน', 'สาขา', 'เหมือน', 'ห้องน้ำ', 'หน้าตา', 'แขก']",,15,1
49,พวกสาขาเอ็กเพรสนี่พนักงานไม่ค่อยอยู่เคาน์เตอร์อ่ะ  จะจ่ายตังค์ต้องเดินหา ไปวิงวอนขอให้มาคิดเงินกูเนี่ย,"['พนักงาน', 'สาขา', 'จ่าย', 'เดิน', 'เอ็กเพรส', 'หา', 'อ่ะ', 'ตังค์', 'เคาน์เตอร์']",,15,1
50,ถุงใส่สินค้าบางมากควรปรับปรุงได้แล้วนะค่ะทั้งExpressและสาขาใหญ่ทั้งหมด,"['สาขา', 'ถุง', 'ใส่', 'สินค้า', 'ปรับปรุง']",,2,-1
51,ป้ายราคาบอกราคาหนึ่งไปจ่ายอีกราคาหนึ่ง เช่นบอกซื้อ1แถม1ไปเคารเตอรเช็ราคาพนักงานก้ายิ้มเหมือนจะด่าต้นตระกูล เคารเตอรมีเป็นสิบแต่เปิดไม่3รออออจนนน.ลดไปตั้งขีดหนึ่ง#โลตัสสตูล,"['พนักงาน', 'ซื้อ', 'เหมือน', 'จ่าย', 'ราคา', 'ราคา', 'ราคา', 'ลด', 'รอ', 'แถม', 'ป้าย']",,14,1
52,โลตัส Express แทบทุกสาขา.....แคชเชียร์ไม่ค่อยมีคนยืนที่เคาเตอร์ มัวแต่ไปจัดของ  เวลาซื้อของต้องรอ พนง.จัดสต๊อกให้เสร็จก่อนอ่ะค่ะทำไมผู้จัดการไม่แบ่งงานกันดีๆคะคือรอนาน แถวยาวว ไม่เหมือนเซเว่น มี พนง ยืนเคาเตอร์ตลอด,"['สาขา', 'โลตัส', 'คน', 'ซื้อ', 'เหมือน', 'งาน', 'เวลา', 'ดี', 'รอ', 'รอ', 'พนง']",,7,1
