,comment,tokenized_comment,label,predicted_label,marks
10,คุณหมอคะ อีกประเด็นนึงที่หนักมากคือเรื่องของการเผาไร่เผานาเพื่อปลูกใหม่. สมัยก่อนเราใช้วิธีไถกลบ แต่ตอนนี้เผากันเยอะมาก มันเร็วกว่าและถูก  อย่างตอนนี้มีแปลงเพื่อการเกษตรที่บริษัทใหญ่ๆคอนโทรอยู่เยอะมาก. จะเริ่มจากตรงนี้ก่อนได้ไหม. หลายๆประเทศจะมีกฏข้อบังคับเรื่องนี้ชัดเจน  ถ้าดู แผนที่จากเว็ปของ NASA FIRMS (Fire Information for Resource Management System) จะเห็นชัดเจนเลยว่ามีการเผาในประเทศ ไทย ลาว และเขมร สูงมาก ทุกปี ช่วงนี้จะเป็นแบบนี้ค่ะ ที่พูดเรื่องนี้กันไม่ได้เพราะใกล้วันเลือกตั้ง  https//firms.modaps.eosdis.nasa.gov/map/...,"['หมอ', 'เรื่อง', 'เรื่อง', 'เรื่อง', 'ตอน', 'ตอน', 'ดู', 'ประเทศ', 'ประเทศ', 'ปี', 'ปลูก', 'ไหม', 'นึง', 'เผา', 'เผา']",,0,-1
11,คิดถึง..วาทะ เด็ด ตอนน้ำท่วมกทม.อดีตผู้ว่า.ท่านบอก ให้ย้ายไปอยู่ดอย. ท่านเลยถูกย้ายออกจากตำแหน่ง  คนเรา.ทำงานหนักเพื่อลูกได้..ทนดูลูกหายใจลำบาก..ไอหอบทั้งคืนต้อง อาศัยเครื่องช่วยหายใจ.ทนไม่ได้.หรอก ถ้า.หลายรักของผู้นำ..ตกในสภาพ. การหายใจล้มเหลว.เพราะฝุ่น..ท่านจะทำอะไรบ้างน้า,"['คน', 'ทำ', 'ทำ', 'ฝุ่น', 'ลูก', 'ลูก', 'ตอน', 'งาน', 'ดู', 'หายใจ', 'หายใจ', 'หายใจ', 'เครื่อง', 'น้ำ', 'กทม']",,9,-1
12,คุณหมออาจไม่ทราบว่าสาเหตุส่วนหนึ่งมาจากประเทศเพื่อนบ้านของเราบวกกับการเคลื่อนที่ของกระแสอากาศที่ประจวบเหมาะทำให้ปัญหานี้มันสาหัสเกินกว่ามนุษย์แค่ไม่กี่คนจะสั่งโน่นนี่แล้วแก้ไขได้ปลูกต้นไม้ อาจช่วยได้ แต่เชื่อหรือไม่ว่าจังหวัดเชียงใหม่ที่เชื่อว่าต้นไม้มีเยอะกว่ากรุงเทพแน่ๆ ก็ยังเจอปัญหาเรื่องคุณภาพอากาศทุกปี ตั้งแต่มีการปลูกข้าวโพดและเผาซากพืชเมื่อเก็บเกี่ยวเสร็จ และเพื่อนบ้านก็มาร่วมงานนี้อีกเช่นกันคุณจะไปห้ามประเทศเพื่อนบ้านไม่ให้เผาได้เหรอ คุณจะลดละเลิกผลิตภัณฑ์ที่เกี่ยวเนื่องกับข้าวโพดได้เหรอ คุณจะห้ามไม่ใช้ยานพาหนะที่ใช้น้ำมันดีเซลได้เหรอ มันต้องใช้ทรัพยากรมากแค่ไหนเพื่อทำให้อากาศในภูมิภาคนี้ดีขึ้นหาหน้ากากใส่ แล้วอดทดเห็นจะเป็นหนทางที่ดีที่สุดในเวลานี้,"['ทำ', 'คน', 'ทำ', 'หมอ', 'เรื่อง', 'ดี', 'ดี', 'ใส่', 'งาน', 'อากาศ', 'ปัญหา', 'ปัญหา', 'อากาศ', 'อากาศ', 'ต้น']",,1,1
13,"ประชาชนมากกว่าครึ่ง ยังไม่ใส่หน้ากาก แถมยังมองคนใส่หน้ากากเป็นคนประหลาด หนำซ้ำยังพูดว่า ""พวกใส่หน้ากากคือพวกอุปทานหมู่"" เจ้าค่าาาาาาา ช่างเถอะ ให้ธรรมชาติคัดสรร (Natural selection)ล่ะกันค่ะ เพลีย😥","['คน', 'คน', 'หน้า', 'หน้า', 'หน้า', 'ใส่', 'ใส่', 'ใส่', 'ประชาชน', 'กาก', 'กาก', 'กาก', 'แถม', 'ประหลาด', 'ล่ะ']",,2,1
14,วันนี้ รรไม่หยุดแต่แม่ก็หยุดเองค่ะไม่ไหวฝุ่นทั้งนั้นเคยใจกล้าเดินเข้าไปบอก ครูว่าไม่ให้เด็กเจฝข้าแถวได้มั้ยขอให้ขึ้นห้องเลย ครูตอบกลับมาว่า รรเราฝุ่นไม่เยอะจ๊ะแม่ยังได้อยู่ วันนี้เลยหยุดแม่มมเลยแถมครูบางคนก็พาเด็กๆอนุบาลมาเล่นสนามเด็กเล่นพอเราไปพูดเรื่องฝุ่นครูบางคนก็ปรายตามองหาว่าเราเยอะทั้งที่ผู้ปกครองคนอื่นเค้าไม่เห็นว่าอะไรเลย กลายเป็นตัวประหลาดไปค่ะ,"['คน', 'คน', 'คน', 'เด็ก', 'เด็ก', 'เด็ก', 'ฝุ่น', 'ฝุ่น', 'ฝุ่น', 'เรื่อง', 'ตัว', 'หยุด', 'หยุด', 'หยุด', 'แถว']",,4,1
15,ที่น่าสังเวคือยังมีคนจำนวนหนึ่งมองว่าพวกเราบ้าประสาทตื่นตูมกันอยู่เลย ใส่หน้ากากก็โดนมองเหมือนสัตว์ประหลาด,"['คน', 'หน้า', 'ใส่', 'เหมือน', 'กาก', 'ตื่น', 'โดน', 'ประหลาด', 'จำนวน', 'บ้า', 'ตูม']",,2,1
16,เห็นด้วยที่สุดครับ แก้ปัญหาฝุ่นไม่ได้ก็ช่วยประชาชนดูแลสุขภาพอย่างเช่น การออกมาแจกหน้ากากกันฝุ่นก็ยังดี ไม่ใช่เที่ยวไปแจกข้าวเหนียวมะม่วงส่งเสริมการท่องเที่ยว (ซึ่งเหลือทิ้งบาน) แล้วฝุ่นอันตรายเต็มเมืองขนาดนี้นักท่องเที่ยวที่ไหนจะมา มาตรการอะไรที่ช่วยลดฝุ่นได้ก็ทำ ไม่ใช่มาพ่นละอองน้ำง่อยๆ แล้วทำให้เกิดอุบัติเหตุ แถมยังลดฝุ่นไม่ได้,"['ทำ', 'ทำ', 'ฝุ่น', 'ฝุ่น', 'ฝุ่น', 'ฝุ่น', 'ฝุ่น', 'ดี', 'ปัญหา', 'ประชาชน', 'แก้', 'หน้ากาก', 'มาตรการ', 'ลด', 'ลด']",,3,1
17,T T ควรประกาศภัยพิบัติได้แล้วนะครับ  ผลกระทบต่อสุขภาพระยะยาวแบบเลี่ยงไม่ได้ สุดท้ายจะกลายเป็นภาระมหาศาลของระบบสาธารณสุขเลย,"['ประกาศ', 'สุขภาพ', 'กลาย', 'ระบบ', 'กระทบ', 'สุดท้าย', 'ภัยพิบัติ', 'เลี่ยง', 'ภาระ', 'สาธารณสุข']",,0,-1
18,น่าตกใจมากที่ประเทศเรามาถึงจุดนี้ได้ รัฐบาลไม่คิดจะแก้ปัญหาอะไรเลยตั้งแต่ภาคเหนือประสบปัญหามา 5-6 ปีแล้ว นโยบาลด้านสุขภาพของประชาชนทั้งประเทศควรสำคัญมาเป็นอันดับ 1 แต่ตอนนี้เรามองว่าเค้าไม่ได้สนใจอะไรเลยค่ะ ไม่นึกถึงเพื่อนร่วมโลก ก็น่าจะนึกถึงญาติพี่น้องลูกหลานที่อยู่ต่อรุ่นหลังหน่อยว่าจะอยู่กันยังไง ขนาดอากาศหายใจยังจะไม่มี,"['รัฐบาล', 'ตอน', 'ปัญหา', 'ปัญหา', 'อากาศ', 'ประชาชน', 'ประเทศ', 'แก้', 'ปี', 'หายใจ', 'สุขภาพ', 'ขนาด', 'เค้า', 'สนใจ', 'จุด']",,0,-1
19,ขอบคุณคุณหมอที่ออกมาให้ข้อมูลและเป็นกระบอกเสียงนะคะ สิ่งที่คุณหมอพูดลงมือทำได้จริงๆ ลดผลกระทบได้เลย และลดปัญหาระยะยาวได้ด้วย ขอแชร์นะคะ อยากให้เกิดขึ้นจริงมากๆเลยค่ะ,"['ทำ', 'หมอ', 'หมอ', 'ปัญหา', 'ลด', 'ลด', 'แชร์', 'ขอบคุณ', 'กระทบ', 'ข้อมูล', 'เสียง', 'มือ']",,3,1
20,เศร้าใจจริงๆค่ะ หลายคนยังใช้ใช้ชีวิตปกติ อุ้มลูกออกไปไหนมาไหน ไม่มีการป้องกัน ดิฉันใส่หน้ากากแบบกัน n95 อันใหญ่มีแต่คนมองด้วยสายตาว่าแปลกและเว่อร์แถมที่สำคัญหาซื้อยาก ราคาสูงใช้ต้องเปลี่ยน คนหาเช้ากินค่ำ รายได้ไม่เยอะก็ลำบากที่ต้องหาแบบนั้นมาใส่ป้องกัน เด็กที่ต้องนั่งมอไซด์ไปเรียน อากาศแย่มาเป็นเดือน ยังทำทุกอย่างยังทำเหมือนไม่วิกฤต ไม่มีมาตราการที่ชัดเจนเลย เศร้าใจมาก สงสารเด็ก ผู้ป่วย คนท้อง คนชรา,"['คน', 'คน', 'คน', 'ทำ', 'ทำ', 'คน', 'คน', 'เด็ก', 'เด็ก', 'ลูก', 'หน้า', 'ใส่', 'ใส่', 'เรียน', 'อากาศ']",,2,1
21,เป็นคุณแม่ที่รับราชการค่ะ ที่บ้านไม่มีรถ เดินถนน นั่งรถเมล์เหมือนคนส่วนใหญ่ของประเทศนี้ ภูมิแพ้ขึ้นทุกวัน กินทั้งยาแก้แพ้ และพ่นยาแก้อาการหอบหืด รู้สึกอึดอัดเหมือนกันที่รัฐบาล และส่วนราชการที่เกี่ยวข้องไม่มีมาตรการที่เด็ดขาดในการแก้ปัญหา เหมือนทุกคนต้องทนๆ กันไป ชีวิตใครดูแลกันเอง แต่ความเป็นจริง เราทุกคนเลือกพื้นที่อยู่ ย้ายบ้านหนีไม่ได้ และเลือกอากาศที่หายใจไม่ได้ อยากให้ทุกภาคส่วนที่มีอำนาจในการตัดสินใจจริงจังมากกว่านี้ค่ะ,"['คน', 'คน', 'คน', 'รถ', 'รถ', 'รัฐบาล', 'บ้าน', 'บ้าน', 'ปัญหา', 'อากาศ', 'เหมือน', 'เหมือน', 'เหมือน', 'ประเทศ', 'แก้']",,9,-1
22,ตอนนี้รัดทะบาน ห่วงแต่การสืบทอดอำนาจ สนจัยอะไรที่ไหนกัน ทนได้ก้อทนกันไป ทนไม่ได้ก้อทำอะไรไม่ได้ ประเทศไทย จะไม่มีคนดีๆ มาบริหารประเทศเลยหรอ,"['ทำ', 'คน', 'ดี', 'ตอน', 'ประเทศ', 'อำนาจ', 'ทน', 'ทน', 'ทน', 'ประเทศไทย', 'บริหาร', 'หรอ', 'ห่วง', 'ก้อ', 'ก้อ']",,9,-1
23,ลูกสาวมาเล่าให้ฟังเมื่อวานคุณครูพูดถึงเรื่องปัญหาฝุ่นควัน...ฯลฯแนะนำเด็กๆ ให้สวมหน้ากาก...ฯแต่..คุณครูที่อธิบาย ก็ไม่เคยใส่นะคะเด็กสงสัยว่าแล้วทำไมครูไม่ทำเป็นตัวอย่างก่อน (ไม่กล้าที่จะถามนะคะ แค่คิดในใจ),"['ทำ', 'เด็ก', 'เด็ก', 'ฝุ่น', 'เรื่อง', 'ลูก', 'ใส่', 'ปัญหา', 'หน้ากาก', 'ควัน', 'ครู', 'ครู', 'ฟัง', 'วาน', 'ถาม']",,6,1
24,คือแบบ ไม่มีการตายให้เห็นปัจจุบันทันด่วน ก็เลยไม่วิตกว่าเรื่องนี้ มันเป็นวิกฤติของประเทศ...มังคะ..,"['เรื่อง', 'ประเทศ', 'ตาย', 'วิกฤติ', 'วิตก']",,0,-1
25,นายกฯชอบออกมาให้คำแนะนำ ทั้งที่ตัวเองคือคนที่มีอำนาจสั่งการ มีหน้าที่ปฏิบัติและแต่ละนโยบายที่จะนำไปปฏิบัติ ควรกลั่นกรอง ไม่ใช่ใช้แค่มโนเช่น หมูปิ้ง ฉีดน้ำ ห้ามข้าราชการขับรถ ฯลฯการใช้นโยบายห้ามขับในบางพื้นที่การเลือกทะเบียนวันคู่วันคี่เหมือนประเทศที่เป็นสากลไม่ใช่เรื่องน่าอาย ไม่ควรคิดนโยบายที่แตกต่างแต่ไม่ได้เรื่องแล้วข้าราชการกระทรวงไหนที่คิดนโยบายผิดเพี้ยนแล้วพูดออกมาก็ควรเรียกไปตักเตือน,"['คน', 'รถ', 'เรื่อง', 'เรื่อง', 'ตัว', 'เหมือน', 'ประเทศ', 'อำนาจ', 'น้ำ', 'ราชการ', 'ขับ', 'ขับ', 'พื้นที่', 'ราชการ', 'นายก']",,0,-1
26,เห็นด้วยกับสิ่งที่คุณหมอพูดมาทั้งหมดค่ะ แต่ความหวังที่จะให้ผู้ใหญ่ในรัฐบาลทำตามนั้นคงริบหรี่ค่ะ ไม่เคยเข้าใจเลยทำไมเราต้องปรับการเปิดปิดภาคเรียนตามอาเซียน การรณรงค์ให้คนใส่หน้ากากอนามัยก็น้อยเหลือเกิน ยังบอกว่าสถานการณ์ยังไม่วิกฤตอีก คือไม่รู้ว่าแค่ไหนถึงจะวิกฤต คงต้องรอให้มีผลกระทบกับลูกหลานคนใหญ่คนโตในประเทศก่อนนะคะถึงจะเริ่มทำอะไรสักอย่าง,"['ทำ', 'คน', 'ทำ', 'หมอ', 'รัฐบาล', 'หน้า', 'ใส่', 'เรียน', 'รู้', 'กาก', 'ประเทศ', 'รอ', 'สัก', 'หวัง', 'รณรงค์']",,6,1
27,ตลกร้ายค่ะคุณหมอ เมื่อวานนี่เห็นมีคนแชร์โพสขอความร่วมมือประชาชนแจ้งพบรถเมล์ควันดำ....ถามจริง? ถ้าระบบฟี๊ดแบคมันใช้ได้ผลจริง ป่านนี้คนขับรถเมลซิ่งน่าจะหมดประเทศแล้ว ขนาดมาตรการภายในองค์กรยังห่วยเลย,"['คน', 'คน', 'หมอ', 'รถ', 'รถ', 'ประชาชน', 'ประเทศ', 'มาตรการ', 'แชร์', 'แจ้ง', 'ขนาด', 'เมล์', 'ควัน', 'ระบบ', 'วาน']",,7,1
28,อย่าลืมโรงงานเถื่อนครับ ไล่มาตั้งแต่ สมุทรปราการ เอกชัย อ้อมน้อย อ้อมใหญ่ มีเป็นพันครับผม รั้วสูง ทึบ ไม่มีป้ายชื่อ และ ทำงานเฉพาะกลางคืน,"['ทำ', 'งาน', 'งาน', 'โรง', 'กลาง', 'อย่า', 'ป้าย', 'ผม', 'พัน', 'ชื่อ', 'คืน']",,6,-1
29,จริงๆแล้วแก้ปัญหาระยะสั้นง่ายนิดเดียวให้หยุดงานสักห้าวันติดต่อกันเหมือนวันหยุดยาวให้คนต่างจังหวัดกลับบ้านไปเที่ยวใช้เงินกรุงเทพก็จะไม่มีรถโดยอัตโนมัติ,"['คน', 'รถ', 'บ้าน', 'งาน', 'ปัญหา', 'หยุด', 'เหมือน', 'หยุด', 'แก้', 'สัก', 'กรุงเทพ', 'เที่ยว', 'เงิน', 'ติดต่อ', 'จังหวัด']",,4,1
30,ตอนนี้ รร ก้อสั่งหยุดคะ อยู่ในเขตที่เป็นพื้นสีแดงคะ ผปค ทุกคนให้ความร่วมมือ ผอ รรสั่งซื้อเครื่องฟอกอากาศ งดกิจกรรมกลางแจ้ง ล่าสุดอาจมีนโยบายให้มา รรสายขึ้นเพื่อ เลี่ยงฝุ่น ตอนเช้าคะ ผปค เตรียมผ้าปิดปากให้เด็กๆทุกวัน นี่คือสิ่งที่ประชาชนร่วมกันทำเพื่อช่วยตัวเองจากสถานการณ์ตอนนี้ รัฐบาลควรเล็งเห็นความสำคัญคะ,"['คน', 'ทำ', 'เด็ก', 'ฝุ่น', 'ตัว', 'รัฐบาล', 'ตอน', 'ตอน', 'ตอน', 'อากาศ', 'หยุด', 'ประชาชน', 'รร', 'รร', 'ซื้อ']",,9,-1
31,ถ้าทุกคนรับฟัง และร่วมมือกันถ้วนหน้าคงจะดีนะคะ ที่คุณหมอเสนอมาล้วนดี แต่บางเรื่องดูไม่ง่ายในทางปฏิบัติเลยค่ะ,"['คน', 'หมอ', 'เรื่อง', 'ดี', 'ดี', 'ดู', 'เสนอ', 'รับฟัง']",,9,-1
32,นักเรียน ควรนั่งรถรับส่งของโรงเรียน ไปด้วยกันกลับด้วยกัน มีครูดูแล อย่างเพียงพอ ให้ได้มาตรฐานความปลอดภัย เพราะ ตอนนี้ นักเรียน 1 คน รถ1คัน หรือ ระยะยาว กศ. ควร พัฒนา ทุก รร. ให้ได้มาตรฐาน ไม่มีความเลื่อมล้ำ เด็กๆจะได้เรียน รร. ใกล้ๆบ้าน คุณภาพชีวิต ก็ดีขึ้นมาก,"['คน', 'รถ', 'รถ', 'เด็ก', 'ดี', 'ตอน', 'เรียน', 'เรียน', 'เรียน', 'เรียน', 'บ้าน', 'โรง', 'รร', 'รร', 'ดูแล']",,10,0
33,อันตรายจากฝุ่นมันเป็นปัญหาสุขภาพระยะยาว คนส่วนใหญ่ถึงไม่เห็นความสำคัญ ไม่รักตัวเองก็ไม่ได้ว่าอะไร แต่อย่าไปตำหนิหรือเห็นคนใส่แมสเป็นเรื่องตลก มันเป็นสิทธิ์ที่จะป้องกันตัวเอง  ส่วนใครไม่ใส่ก็ ไม่เป็นไร ปล่อยให้เป็น natural selection,"['คน', 'คน', 'ฝุ่น', 'เรื่อง', 'ตัว', 'ตัว', 'ใส่', 'ใส่', 'ปัญหา', 'สุขภาพ', 'ป้องกัน', 'อันตราย', 'อย่า', 'ปล่อย', 'รัก']",,2,1
34,นอกจากการหายใจ ตอนนี้เริ่มแสบตา ระคายเคืองตา  แล้วก็คันที่ผิวหนังบ่อยขึ้นค่ะ ไม่รู้เราคิดไปเองไหม แต่ปกติผิวหนังไม่เคยแพ้อะไรเลย,"['ตอน', 'รู้', 'หายใจ', 'ไหม', 'ตา', 'ตา', 'ปกติ', 'คัน', 'แสบ', 'แพ้', 'ระคายเคือง']",,0,-1
35,เห็นด้วยค่ะคุณหมอ โดยเฉพาะการปิดโรงเรียนในช่วงนี้จำเป็นมากกับเด็กที่โรงเรียนไม่มีแอร์ สงสารเด็กมาก ถึงจะเข้าเรียนในอาคารก็จริงแต่ก็ต้องเปิดหน้าต่างอยู่ดี สุดท้ายก็หายใจเอาฝุ่นเข้าเต็มๆ อย่างของโรงเรียนลูกสาวดีหน่อยงดเข้าแถวไปเลย เวลาเรียนห้องแอร์ก็ยังช่วยได้ระดับนึง แถมโรงเรียนมีป้ายปิดงดให้นักเรียนเล่นกลางแจ้งอีกด้วย,"['หมอ', 'เด็ก', 'เด็ก', 'ฝุ่น', 'ดี', 'ลูก', 'เรียน', 'เรียน', 'เรียน', 'เรียน', 'เรียน', 'เรียน', 'เรียน', 'โรง', 'โรง']",,10,1
