,comment,tokenized_comment,label,predicted_label,marks
10,เมนูชาไทยจะน้ำแข็งแน่นแก้วอะไรขนาดนั้นกินแป๊บเดียวก็หมดแก้ว เหลือแต่น้ำแข็งเปล่าเต็มแก้ว,"['ไทย', 'น้ำ', 'แข็ง', 'แน่นแก้ว', 'ขนาด', 'กิน', 'แป๊บ', 'แก้ว', 'น้ำ', 'แข็ง', 'แก้ว']",,2,-1
11,อร่อยดีเเล้ว​ต้อง​ #Signature นะครับอย่าลืมใช้Black cardนะครับผม,"['อร่อย', 'ดี', 'อย่า', 'ผม']",,11,-1
12,ผมว่า ผมชอบรสชาติของกาแฟคุณ หลายๆแก้วประทับใจกว่า แบรนด์นางเงือกแต่ว่า แพงไปหว่ะ ไม่เหมาะกะคนไทย (ถึงแม้จะใช้ส่วนลด ลูกค้าทรู แล้วก้ตาม)สังเกตได้ว่า น้อยสาขา ที่คนจะแน่น หรือต้องต่อคิวสัีงกาแฟ เหมือนแบรนด์นางเงือก…See more,"['ผม', 'ผม', 'ชอบ', 'รสชาติ', 'กาแฟ', 'แก้ว', 'แบรนด์', 'แพง', 'กะ', 'คน', 'ไทย', 'ลด', 'ลูกค้า', 'ทรู', 'สาขา', 'คน', 'คิว', 'เหมือน', 'แบรนด์', 'นางเงือก']",,11,-1
13,ใช้​ code  ทีไรเต็มตลอด​ พนักงานแนะนำให้กด​ code  ไว้ตอนเที่ยงคืน​ )​,"['เต็ม', 'พนักงาน', 'กด', 'ตอน', 'คืน']",,11,-1
14,"ถ้า》 กาแฟจืด เหมือนน้ำเปล่า แสดงว่าชอบกิน สายพันธุ์โรบัสต้า (เบอดี้,3 in 1)ถ้า 》 แพง ให้เปิด Promotion มี 10 กว่าโปร จนไม่รู้จะใช้โปรไหน จน งง …See more","['กาแฟ', 'จืด', 'เปล่า', 'ชอบ', 'กิน', 'แพง', 'โปร', 'รู้', 'โปร', 'งง']",,11,-1
15,ชาเย็นอร่อย ชอบที่เป็นน้ำแข็งปั่นละเอียด แต่ขอน้ำเยอะกว่านี้ได้ไหม ดูไปสองปื้ดหมดแหล่ว ราคาโหดร้ายไป๊,"['ชาเย็น', 'อร่อย', 'ชอบ', 'น้ำ', 'แข็ง', 'ปั่น', 'น้ำ', 'ไหม', 'ดู', 'สอง', 'ราคา']",,2,-1
16,โปรติดสัญญานี่เนตใช้ดีมาก ดูยูทูปเท่าไหร่ก็ไม่หมด พอครบสัญญาปุ๊บ อีดอกแค่สไล้เฟชบุค ไม่ถึงเดือนเนตปลิวหายไปอย่างกะโดนปล้น,"['เนต', 'ดี', 'ดู', 'ไหร่', 'เดือน', 'หาย']",,11,-1
17,Wi-Fi ทรูที่บ้าน ใช้ได้แต่กลางคืน กลางวันใช้ไม่ได้ แต่จ่ายพันกว่าบาททุกเดือน ควรปรับปรุง ฝากทรูคอฟฟี่ไปบอกด้วย,"['ทรู', 'บ้าน', 'คืน', 'จ่าย', 'พัน', 'เดือน', 'ปรับปรุง', 'ฝาก', 'ทรูคอฟฟี่']",,11,-1
18,เครื่องดื่มโบราณ อัดน้ำแข็งแน่นมาก ดูด 3-4 ทีหมด น้ำแข็งยังแน่นแก้วอยู่เลย,"['เครื่อง', 'ดื่ม', 'โบราณ', 'อัด', 'น้ำ', 'ดูด', 'น้ำ', 'แข็ง', 'แน่นแก้ว']",,2,-1
19,ย้ายค่ายจากทรูมาทุกเบอร์ เพราะสัญญาณเหรี้ยมาก เดี๋ยววว~~ เกี่ยวไรกะกาแฟ 🤣,"['ย้าย', 'ค่าย', 'สัญญาณ', 'วว', 'เกี่ยว', 'กาแฟ']",,11,-1
20,นี้จะเหมือนอเมซอน แต่ละสาขารสชาติไม่เหมือนกัน คนทำกาแฟเปลี่ยนรสชาติก็เปลี่ยน ปล.เมิงควรให้ลูกค้าที่ใช้ทรูโดยเฉพาะได้สิทธิ์ได้ส่วนลดพิเศษบ้าง,"['เหมือน', 'สาขา', 'รสชาติ', 'เหมือน', 'คน', 'ทำ', 'กาแฟ', 'รสชาติ', 'ลูกค้า', 'ทรู', 'สิทธิ์', 'ลด', 'พิเศษ']",,11,-1
21,ทำไมเอาเมนูทวิซที่ปั่นใส่ขนมช็อกโกแลตทวิซคาลาเมลออก 💥🔥🔥🔥โกรธหนักค่ะ เพราะชอบมากกกกกกกก,"['เมนู', 'ขนม', 'ชอบ']",,2,-1
22,ชอคโกแลตปั่นรสชาติเหมือนเอาแต่ละแก้วที่ไม่หมดมาผสมรวมกันให้   ชาเขียวน้ำแข็งไม่มีเลย  เละเป็นโจ๊ก ไม่เย็นแพงเกินคุณภาพจริงๆ,"['รสชาติ', 'เหมือน', 'แก้ว', 'ชาเขียว', 'น้ำ', 'แข็ง', 'เย็น', 'แพง', 'คุณภาพ']",,2,-1
23,ทรูเคยมีเมนู ดาร์กมอคค่าปั่น อร่อยเข้มข้นมาก เป็นเมนูโปรด เมื่อก่อนซื้อแทบทุกวัน โปร 1 แถม 1 ดื่มเบิ้ลก็ไม่เบื่อพอถอดเมนูนี้ออกไป ไม่รู้จะสั่งอะไร มอคค่าปั่นเมนูปกติอร่อยสู้ร้านอื่นไม่ได้ ตั้งแต่นั้นเลิกเข้าร้านทรูคอฟฟี่ไปเลยครับ,"['ทรู', 'เมนู', 'ค่า', 'ปั่น', 'อร่อย', 'เข้มข้น', 'เมนู', 'ซื้อ', 'แทบ', 'โปร', 'แถม', 'ดื่ม', 'รู้', 'สั่ง', 'ค่า', 'อร่อย', 'ร้าน', 'เลิก', 'ร้าน', 'ทรูคอฟฟี่']",,11,-1
24,ขนาดตอนเป็นลูกค้าทรูมูฟ ยังไม่กิน ตอนนี้ย้ายค่ายแล้ว อย่าหวังจะได้แดก,"['ขนาด', 'ตอน', 'ลูกค้า', 'ทรูมูฟ', 'กิน', 'ตอน', 'ย้าย', 'ค่าย', 'อย่า', 'หวัง']",,11,-1
25,จะดีมากถ้าสิทธิ 1 แถม 1 ของลูกค้าแบลคการ์ด สามารถเก็บใบเสร็จมาเอาอีกแก้วในวันถัดไปได้,"['ดี', 'สิทธิ', 'แถม', 'ลูกค้า', 'แก้ว', 'ถัด']",,11,-1
26,ราคาแพง ใช้สิทธิ​ลดแล้วยังแพง ไม่อร่อยอีกต่างหาก หลังๆมานี่สิทธิ​เต็มมตลอด,"['ราคา', 'แพง', 'สิทธิ', 'ลด', 'แพง', 'อร่อย', 'สิทธิ']",,10,-1
27,เหมือนจะพรีเมียม แต่เมื่อลองแร้ว เอิ่มมม บางตัวโอเครนะ ค่อยๆปรับไปทีละจุด,"['เหมือน', 'เอิ่ม', 'ตัว']",,11,-1
28,ขอทำขนมไปส่งได้ไหมคะ นักเรียนบ้านยากจนจะสอนนักเรียนแต่ไม่มีที่ให้โอกาสนักเรียนคะ แต่รับรองขนมอร่อยคะ,"['ทำ', 'ขนม', 'ไหม', 'เรียน', 'เรียน', 'เรียน', 'ขนม', 'อร่อย']",,13,-1
29,ซื้อเพราะหาที่นั่งล้วนๆ รสชาติไม่ต้องพูดถึง ปล่อยน้ำแข็งละลายทุกที5555,"['ซื้อ', 'หา', 'นั่ง', 'รสชาติ', 'น้ำ', 'แข็ง', 'ละลาย']",,2,-1
30,"ทรูพอยน์ยังใช้ได้อยู่มั้ย มีอยู่ 3,000 กว่า อยากกินกาแฟระหว่างรอจ่ายค่าโทรศัพท์มั่งอ่ะ","['กิน', 'กาแฟ', 'รอ', 'จ่าย', 'ค่า', 'โทรศัพท์', 'อ่ะ']",,11,-1
31,ดีมากอยู่แล้วครับ สถานที่ ราคา รสชาติ (ปรับปรุงดีขึ้นมาก) เน็ตแรงดี#เพิ่มสาขา ครับ,"['ดี', 'ราคา', 'รสชาติ', 'ปรับปรุง', 'ดี', 'เน็ต', 'แรง', 'ดี', 'สาขา']",,4,-1
32,ลาเต้...จืดสนิท แทบไม่มีรสชาติ ราคานี่ซื้อรถเข็นกินได้หลายแก้วเลย อุตส่าห์กินเมนูเดิม 2 วัน เอิ่ม...แย่ทั้งคู่ บายยยย,"['แทบ', 'รสชาติ', 'ราคา', 'ซื้อ', 'กิน', 'แก้ว', 'เอิ่ม', 'แย่']",,11,-1
33,ชาเขียวไม่มีความอร่อยเลยครับ เลี่ยนตั้งแต่ชาเขียวยันวิปครีม ราคาก็แพงด้วย,"['ชา', 'เขียว', 'อร่อย', 'เลี่ยน', 'ชา', 'เขียว', 'ครีม', 'ราคา', 'แพง']",,2,-1
34,โปรแต้มมรึงหมดเร็วไปนะ เหมือน limit net มือถือ ... 5 วันหมดอิดอก,"['เหมือน', 'มือถือ', 'อิดอก']",,11,-1
35,ใช้สิทธิ์ทรู 1 แถม 1 ช่วยเพิ่ม ชาไทย โอเลี้ยงด้วยได้ไหม  ยอมจ่ายแก้วแรกแพง เลือกแก้วที่สองเป็นชาไทยก็ไมได้ ไรแว๊,"['สิทธิ์', 'ทรู', 'แถม', 'ชาไทย', 'ไหม', 'จ่าย', 'แก้ว', 'แพง', 'แก้ว', 'สอง', 'ชา', 'ไทย', 'ไม']",,11,-1
36,สิทธิ์เต็มเร็วเหลือเกิน แถมร้าน สาขา Jusmine Asok มีไม่ร่วมโปรด้วยนะ อะไรกัน ก็ true coffee เหมือนกันไม่ใช่หรอ,"['สิทธิ์', 'เต็ม', 'แถม', 'ร้าน', 'สาขา', 'โปร', 'เหมือน', 'หรอ']",,6,-1
37,ปรับปรุงค่ะ ขยายออกมาจากห้างบ้าง จากตัวออฟฟิตบ้าง มาอยู่ปั้มน้ำมันบ้างสิคะ หากินยาก อร่อยแล้วต้องขยายสาขาค่ะ!!!!,"['ปรับปรุง', 'ขยาย', 'ห้าง', 'ตัว', 'สิ', 'อร่อย', 'ขยาย', 'สาขา']",,11,-1
38,สัญญาณเน็ตไม่ค่อยดีเลย ตัดบ่อยหลุดบ่อยอ่าว.. คนละอย่างกันเหรอ โทษๆๆ,"['สัญญาณ', 'เน็ต', 'ดี', 'ตัด', 'หลุด', 'คน', 'เหรอ']",,11,-1
39,ไม่มีความเห็น เพราะกินแค่ครั้งเดียวก็ไม่เคยซื้อกินอีกรอบที่ 2 บ๊ายยยยย,"['กิน', 'ซื้อ', 'กิน']",,1,-1
40,ชาเย็นอร่อยมากค่ะ แต่บางทีก็หวานไป แล้วแต่มือคนชง ราคา 60-. ก็พอได้ค่ะ,"['ชาเย็น', 'อร่อย', 'หวาน', 'มือ', 'คน', 'ราคา']",,11,-1
41,บาริสต้า ยังไม่ได้มาตรฐาน ! ดีอย่างเดียวคือใช้สิทธิ์ พวก ทรูยู หรือพวกพอยท์ มาเป็นส่วนลดพวกเมนูที่อร่อยๆ ชอบมาแป๊บๆ แล้ว หายไป !,"['ดี', 'สิทธิ์', 'ลด', 'เมนู', 'อร่อย', 'ชอบ', 'แป๊บ', 'หาย']",,11,-1
42,ตัวอักษรใหญ่ๆ มองเมนูไม่ชัด ไม่กล้าสั่ง กลัวสั่งผิดละเขินน 555+,"['ตัว', 'เมนู', 'ชัด', 'กล้า', 'สั่ง', 'กลัว', 'สั่ง']",,11,-1
43,เน๊ตบ้านนิ่งมากเหมือนรสชาติดูดแล้วไม่รู้อารมณ์จะไปทางไหน จะขมก็ไม่ใช่ จะหวานก็ไม่มีเติมน้ำเชื่อมก็แล้ว ที่สำคัญกินเสร็จขี้แตก...บาย,"['บ้าน', 'เหมือน', 'รสชาติ', 'ดูด', 'รู้', 'อารมณ์', 'ขม', 'หวาน', 'น้ำ', 'กิน', 'ขี้']",,11,-1
44,ราคาสูง สิทธิแลกพ้อยท์น้อยมาก เช้ามาก็เต็มแล้ว  จริงๆใครมีพ้อยเท่าไรก็น่าจะแลกได้หมด แต่นี่จำกัด 200สิทธิ์ต่อวัน สาขาที่มีมันเกิน  200 แล้วค่ะ,"['ราคา', 'สิทธิ', 'เต็ม', 'พ้อย', 'แลก', 'สิทธิ์', 'สาขา']",,11,-1
45,บอกพนักงงานชงกาแฟทำหน้าตาดีๆ เลิกกระแทกแก้วสักที เวลาส่งคืนลูกค้าเยอะๆอ่ะ ละก็ช่วยทำคอมเม้นลูกค้าให้มันเป็นตามที่ขอด้วยอิเวน,"['งาน', 'ชง', 'กาแฟ', 'ทำ', 'หน้าตา', 'ดี', 'เลิก', 'แก้ว', 'สัก', 'เวลา', 'คืน', 'ลูกค้า', 'อ่ะ', 'ทำ', 'ลูกค้า']",,11,-1
46,"อย่างน้อย Black tae latte แบบ นม Low fat, No sugar ของที่นี่ก็อร่อยกว่าแบรนด์นางเงือก และป่าดงดิบ หรือมีใครเคยกินเมนูประมาณนี้ของแบรนด์อื่นๆ แล้วอร่อยกว่านี้มั๊ยคะ","['นม', 'อร่อย', 'แบรนด์', 'นางเงือก', 'กิน', 'เมนู', 'แบรนด์', 'อร่อย']",,2,-1
47,เอาพอย์ซทรู แลกกาแฟ งงว่าพอย์ซก็พอย์ซกู แต่เสือกบอกว่าสิทธิ์เต็มโควต้าแล้วนะค่ะ มึงให้สิทธิ์พอย์ซแลกเดือนละ10แก้ว หรอไอ้ทรู,"['แลก', 'กาแฟ', 'งง', 'สิทธิ์', 'เต็ม', 'สิทธิ์', 'แลก', 'เดือน', 'หรอ', 'ไอ้', 'ทรู']",,6,-1
48,ราคาที่ตั้งนี่ เพื่ิอ ขายนิล อาร์มสตรองที่ดวงจันทร์ หรือ นักบินอวกาศที่กระสวยนาซ่าเหรอ  ....,"['ราคา', 'ดวง', 'จันทร์', 'เหรอ']",,11,-1
49,ควรขยายสาขามาลำปางเพราะอยากกินมากที่นี้ไม่มี จะร้องไห้ อยุ่กทม.กินทุกวันเลย,"['ขยาย', 'สาขา', 'กิน']",,11,-1
50,เคยทำงานทรู วัตถุดินต่างๆที่ใช้ทำมีแต่ของคุณภาพทั้งนั้น เมล็ดกาแฟเป็นลังๆก็เคยทิ้งมาแล้วแค่มดเจาะถุงเดียว,"['ทำ', 'งาน', 'ทรู', 'ทำ', 'คุณภาพ', 'กาแฟ', 'ทิ้ง', 'ถุง']",,11,-1
51,จะใช้ pro ทีไร ต้องไปวัดดวงหน้า counter ว่า จะเต็มไม่เต็ม จะได้ลด หรือจ่ายเต็มราคา แล้ว True Wifi ก็ ใช้ได้บ้าง ไม่ได้สะมากกว่าได้,"['ดวง', 'หน้า', 'เต็ม', 'เต็ม', 'ลด', 'จ่าย', 'เต็ม', 'ราคา']",,6,-1
52,ตอนปรับโปรใหม่เดือนเเรกเนตอย่างเเรง ผ่านไปสักพัก ช้าโคตร ส่วนกาเเฟงั้นๆ ราคาเเพงไป,"['ตอน', 'โปร', 'เดือน', 'สัก', 'โคตร', 'งั้น', 'ราคา']",,11,-1
53,ลองใช้แต้มแลกสิ พนักงานจะบอกว่าเต็มแล้วแล้วจะออกโปรโมชั่นมาเพื่ออะไร,"['ลอง', 'แต้ม', 'แลก', 'สิ', 'พนักงาน', 'เต็ม', 'โปรโมชั่น']",,11,-1
54,พนง.น่ารักๆ เยอะนะ แต่เพราะชื่อ ทรู นี่แหละตรูเลยไม่เข้า 5555,"['พนง', 'ชื่อ', 'ทรู']",,11,-1
55,ปรับปรุงเรื่องเน็ตบ้าน สมัคร 50/mb เหมือนมาแค่ 10/mb เด้วสัญญานขาดบ้าง ขึ้นสีแดงที่ราวเตอร์บ้าง #ไม่เกี่ยวกับกาแฟ แต่มันอยู่ที่เดียสกัน,"['ปรับปรุง', 'เรื่อง', 'เน็ต', 'เหมือน', 'สัญญาน', 'สี', 'เกี่ยว', 'กาแฟ']",,11,-1
56,เราเป็นลูกค้าทรูค่ะ ชอบทาน ซิกเนเจอร์ หวานปานกลาง และชาเขียวมัคคีอาโต้รสชาดดีใช้บริการทรูสเฟียร์บ่อย แลกแต้มทานประจำ สิทธิตั๋วหนังใช้ทุกเดือน ต้องมีเทคนิคการกดนะคะ เราเข้าใจเพราะคนใช้ทรูเยอะมาก โปรมารีบกดก่อนเลย แต้มใช้แลกยันที่เซเว่น กี่พันแต้มก็ใช้หมดค่ะ ขอชมเชยทรูสาขาฟิวเจอร์ ทุกร้านจริงๆค่ะ บริการดีมาก ยิ้มแย้มแจ่มใส เดินเข้าไปรู้เลย ว่าจะสั่งอะไร เราแต่งตัวบ้านๆ ยังบริการอย่างดีค่ะ,"['ลูกค้า', 'ทรู', 'ชอบ', 'ทาน', 'ซิกเนเจอร์', 'หวาน', 'ชาเขียว', 'บริการ', 'ประจำ', 'สิทธิ', 'หนัง', 'เดือน', 'กด', 'คน', 'ทรู', 'กด', 'แต้ม', 'พัน', 'แต้ม', 'ทรู', 'สาขา', 'ร้าน', 'บริการ', 'ดี', 'เดิน', 'รู้', 'สั่ง', 'แต่ง', 'ตัว', 'บ้าน', 'บริการ', 'ดี']",,11,-1
57,เป็นร้านที่แดกกาแฟร้อนทีไร แม่งต้องล้วกลิ้นไหม้เป็นแผลตลอด น้ำร้อนเอ็งจะร้อนไปไหนวะ สงสัยแม่งเอามาจากบ่อในนรกชัวร์ๆ ถ้าเอ็งร้อนแบบนี้,"['ร้าน', 'แดก', 'กาแฟ', 'ร้อน', 'แม่ง', 'น้ำ', 'ร้อน', 'ร้อน', 'แม่ง', 'ร้อน']",,0,-1
58,ทานที่มหาวิทยาลัยเป็นมุมกาแฟรสชาติอร่อยมาก กาแฟดีมาก ราคาดีรับได้ แต่ถ้าเป็นร้านในห้างราคา over เกินไป,"['ทาน', 'กาแฟ', 'รสชาติ', 'อร่อย', 'กาแฟ', 'ดี', 'ราคา', 'ดี', 'ร้าน', 'ห้าง', 'ราคา']",,0,-1
59,ที่นี่เรื่องบริการเลยครับ พนง.ทำหน้าที่เหมือนแค่เครื่องชงกาแฟโปรเยอะแต่ใช้ไม่ค่อยได้พนง.ก็ไม่ค่อยรู้เรื่องโปรเท่าไหร่,"['เรื่อง', 'บริการ', 'พนง', 'ทำ', 'เหมือน', 'เครื่อง', 'ชง', 'กาแฟ', 'โปรเยอะ', 'พนง', 'รู้', 'เรื่อง', 'โปร', 'ไหร่']",,11,-1
60,รสชาติกาแฟไม่โอ เมื่อเทียบกับราคา ถ้าชงให้อร่อยกว่านี้ได้จะดีมาก,"['รสชาติ', 'กา', 'แฟ', 'เทียบ', 'ราคา', 'ชง', 'อร่อย', 'ดี']",,11,-1
61,กูไม่กล้าเข้า ร้านพร้อพเยอะเกิน กูเดินไม่ถูก คนก็เยอะ จะสั่งก็กลัวเข้าช่องผิด ที่พารากอนนะ,"['กล้า', 'ร้าน', 'เดิน', 'คน', 'สั่ง', 'กลัว', 'พารากอน']",,11,-1
62,อยากได้ทรู black card แต่บริการเนต กะมือถือ ไม่อยากใช้เลยเกี่ยวกะกาแฟมั๊ย  กาแฟธรรมดากินได้เฉยๆ หลังๆเข้าร้านอื่น…See more,"['ทรู', 'กะ', 'มือถือ', 'เกี่ยว', 'กาแฟ', 'ธรรมดา', 'กิน', 'ร้าน']",,11,-1
63,ชาไทยแก้วใหญ่+วิป 80 จ้าาาาาาาาา ดีนะ กุใช้ทรูพ้อยลดด้วย คงจะแก้วสุดท้ายยยยย,"['ชาไทย', 'แก้ว', 'ดี', 'ทรู', 'พ้อย', 'ลด', 'แก้ว', 'สุดท้าย']",,11,-1
64,ร้านที่อยู่ตามพิพิธภัณฑ์ รบกวนช่วยเปิดวันจันทร์ด้วยได้ไหมครับ,"['ร้าน', 'รบกวน', 'จันทร์', 'ไหม']",,6,-1
65,ของปั่น ตระกูลเบอรี่ เปรี้ยวและหวานมากกก รอน้ำแข็งละลายก็ไม่หายเปรี้ยววว,"['ปั่น', 'เปรี้ยว', 'หวาน', 'กก', 'รอ', 'น้ำ', 'แข็ง', 'ละลาย', 'หาย', 'เปรี้ยว', 'วว']",,2,-1
66,ราคาแพงเวอวังอลังการแต่ยอมรับช๊อกโกแลตอร่อยดีคะ ร้อนแก้วเล็ก 1 ร้อยเพลีบแคมเลยกรุ,"['ราคา', 'แพง', 'ดี', 'ร้อย']",,10,-1
67,สั่งคาปูชิโน่เย็น แต่สิ่งที่ได้ นึกว่านมสดเย็น ไม่มีรสชาติกาแฟเลย ควรไปเรียนนะ,"['สั่ง', 'นึก', 'นม', 'รสชาติ', 'กา', 'แฟ', 'เรียน']",,11,-1
68,โปรมีให้ลูกค้าน้อยนิด กดไม่เคยทันคนอื่น บริษัทก็ใหญ่โต ใจกว้างๆคืนกำไรให้ลูกค้าบ้างเถิดค่ะ,"['ลูกค้า', 'กด', 'คน', 'คืน', 'ลูกค้า']",,11,-1
69,เน็ตช้าบ้าง หลุดบ้าง กูจะเปลี่ยนไปใช้เนตของ star bucks แล้วนะ,"['เน็ต', 'หลุด', 'เนต']",,8,-1
70,Iced Black Tea Latte หาชงอร่อยยากมาก อยากกินทีต้องลุ้นทีว่ามือชงจะทำได้แค่ไหน เข้าร้านทรูเพื่อการนี้โดยเฉพาะ เมื่อไม่เจอมือเซียนชง ก็ไม่เข้าไปเหยียบร้านค่ะ,"['หา', 'ชง', 'อร่อย', 'มือ', 'ชง', 'ทำ', 'เจอ', 'ชง', 'ร้าน']",,11,-1
71,อยากให้ปรับปรุงเรื่องเครือข่ายคับ บางที่ไม่มีสัญญานเลยครับ เนตข้ามาก,"['ปรับปรุง', 'เรื่อง', 'สัญญาน']",,11,-1
72,ชานมอร่อย แดกยากหน่อย กูจะถือว่าเป็นเอกลักษณ์ที่ดีแล้วกัน หมดช้าดี รอให้แม่งละลายเป็นชม. 555555,"['แดก', 'ดี', 'รอ', 'แม่ง', 'ละลาย', 'ชม']",,11,-1
73,เปลี่ยนพนักงานบ่อยมาก พอเริ่มเป็นงานชงกาแฟอร่อยก็ให้ย้ายไปสาขาอื่น ลูกค้าก็ต้องมาเจอพนักงานที่เป็น trainee วนลูปใหม่อีกครั้ง,"['พนักงาน', 'งาน', 'อร่อย', 'ย้าย', 'สาขา', 'ลูกค้า', 'เจอ', 'พนักงาน']",,11,-1
74,คือกาแฟบ้านๆ อารมณ์เหมือนกินในคลองถมเซ็นเตอร์ รายล้อมไปด้วยคนมาดูซื้อโทรศัพท์เปลี่ยนโปรแต่ราคาทำไมแพงจังฟ่ะ!,"['กาแฟ', 'บ้าน', 'อารมณ์', 'เหมือน', 'กิน', 'คน', 'ดู', 'ซื้อ', 'โทรศัพท์', 'โปร', 'ราคา', 'แพง']",,11,-1
75,พนักงานคุยกันไม่สนใจ ลูกค้า ก้มหน้าก้มตาคุยกัน จนต้องบอกสนใจรับออเดอร์หน่อย,"['พนักงาน', 'ลูกค้า']",,4,-1
76,เจอราคาชาเขียวเข้าไปแทบจะกลืนแก้วเข้าไปด้วย ไม่ใช่อร่อยนะแต่เสียดายตังส์,"['เจอ', 'ราคา', 'ชาเขียว', 'แทบ', 'อร่อย', 'เสียดาย']",,11,-1
77,พนักงานไม่ควรยื้อเวลาในการทำรายการนานๆเพื่อให้ลูกค้านั่งรอนานจนหิวน้ำนะคะ,"['พนักงาน', 'เวลา', 'ทำ', 'ลูกค้า', 'นั่ง', 'รอ', 'น้ำ']",,11,-1
78,โกโก้เย็น ตอนชง ถ้ามึงจะละลายน้ำแล้วเป็นตะกอนนอนเล่นก้นแก้วกูว่ามึงเอาไปต้มล่วงหน้าแล้วคนให้มันละลายกับน้ำ ใส่หม้อไว้รินหรือรอตักใส่แก้วเหอะ ดูดที ผงโกโก้ตะกอนจะติดคอตาย สำลักแล้วสำลักอีก,"['ตอน', 'ชง', 'ละลาย', 'น้ำ', 'เล่น', 'คน', 'ละลาย', 'น้ำ', 'ใส่', 'รอ', 'ใส่', 'แก้ว', 'เหอะ', 'ดูด', 'โกโก้', 'ติด']",,2,-1
79,ดื่มครั้งเดียว ชงไม่อร่อยและแพงไม่ว่า บ่าลำแต้ๆๆหนา เฟสเชียงใหม่,"['ดื่ม', 'ชง', 'อร่อย', 'แพง', 'หนา']",,10,-1
80,iced coffee signature อร่อย แต่อย่างอื่นแพงเกินไปไม่สมราคา,"['อร่อย', 'แพง', 'สมราคา']",,10,-1
81,ชาเย็นอร่อยมากกก แต่ดูด3อึก หมดแล้วอะ จะน้อยไปไหน แก้วนึงอย่างแพง จะใช้สิทธิ์ทรูพ้อย ไปตั้งแต่ร้านเปิดครึ่งชั่วโมงก็สิทธิ์เต็ม  🤣,"['ชาเย็น', 'อร่อย', 'กก', 'ดูด', 'อะ', 'แก้ว', 'นึง', 'แพง', 'สิทธิ์', 'ร้าน', 'สิทธิ์', 'เต็ม']",,6,-1
82,โปรโมชั่น เยอะ จะยืนงง  ทั้งที่เป็นลูกค้าทรู แต่ไม่กล้าใช้โปร เสียเวลาคนมาต่อคิว ซื้อถัดจากเรา  (เป็นคนขี้เกรงใจ),"['โปรโมชั่น', 'งง', 'ลูกค้า', 'ทรู', 'กล้า', 'โปร', 'เวลา', 'คน', 'คิว', 'ซื้อ', 'ถัด', 'คน', 'ขี้']",,11,-1
