comment,tokenized_comment,predicted_label,marks
เห็นด้วยที่สุดครับ แก้ปัญหาฝุ่นไม่ได้ก็ช่วยประชาชนดูแลสุขภาพอย่างเช่น การออกมาแจกหน้ากากกันฝุ่นก็ยังดี ไม่ใช่เที่ยวไปแจกข้าวเหนียวมะม่วงส่งเสริมการท่องเที่ยว (ซึ่งเหลือทิ้งบาน) แล้วฝุ่นอันตรายเต็มเมืองขนาดนี้นักท่องเที่ยวที่ไหนจะมา มาตรการอะไรที่ช่วยลดฝุ่นได้ก็ทำ ไม่ใช่มาพ่นละอองน้ำง่อยๆ แล้วทำให้เกิดอุบัติเหตุ แถมยังลดฝุ่นไม่ได้,"['แก้', 'ปัญหา', 'ฝุ่น', 'ประชาชน', 'ดูแล', 'สุขภาพ', 'แจก', 'หน้ากาก', 'ฝุ่น', 'ดี', 'เที่ยว', 'แจก', 'ข้าว', 'ท่องเที่ยว', 'ทิ้ง', 'ฝุ่น', 'อันตราย', 'เต็ม', 'เมือง', 'ขนาด', 'ท่องเที่ยว', 'มาตรการ', 'ลด', 'ฝุ่น', 'ทำ', 'พ่น', 'ละออง', 'น้ำ', 'ทำ', 'แถม', 'ลด', 'ฝุ่น']",1,1
T T ควรประกาศภัยพิบัติได้แล้วนะครับ  ผลกระทบต่อสุขภาพระยะยาวแบบเลี่ยงไม่ได้ สุดท้ายจะกลายเป็นภาระมหาศาลของระบบสาธารณสุขเลย,"['ประกาศ', 'ภัยพิบัติ', 'กระทบ', 'สุขภาพ', 'เลี่ยง', 'สุดท้าย', 'กลาย', 'ภาระ', 'ระบบ', 'สาธารณสุข']",0,-1
น่าตกใจมากที่ประเทศเรามาถึงจุดนี้ได้ รัฐบาลไม่คิดจะแก้ปัญหาอะไรเลยตั้งแต่ภาคเหนือประสบปัญหามา 5-6 ปีแล้ว นโยบาลด้านสุขภาพของประชาชนทั้งประเทศควรสำคัญมาเป็นอันดับ 1 แต่ตอนนี้เรามองว่าเค้าไม่ได้สนใจอะไรเลยค่ะ ไม่นึกถึงเพื่อนร่วมโลก ก็น่าจะนึกถึงญาติพี่น้องลูกหลานที่อยู่ต่อรุ่นหลังหน่อยว่าจะอยู่กันยังไง ขนาดอากาศหายใจยังจะไม่มี,"['จุด', 'รัฐบาล', 'แก้', 'ปัญหา', 'ปัญหา', 'ปี', 'สุขภาพ', 'ประชาชน', 'ประเทศ', 'ตอน', 'เค้า', 'สนใจ', 'นึก', 'เพื่อน', 'นึก', 'ลูกหลาน', 'รุ่น', 'ขนาด', 'อากาศ', 'หายใจ']",0,-1
ขอบคุณคุณหมอที่ออกมาให้ข้อมูลและเป็นกระบอกเสียงนะคะ สิ่งที่คุณหมอพูดลงมือทำได้จริงๆ ลดผลกระทบได้เลย และลดปัญหาระยะยาวได้ด้วย ขอแชร์นะคะ อยากให้เกิดขึ้นจริงมากๆเลยค่ะ,"['ขอบคุณ', 'หมอ', 'ข้อมูล', 'เสียง', 'หมอ', 'มือ', 'ทำ', 'ลด', 'กระทบ', 'ลด', 'ปัญหา', 'แชร์']",3,1
เศร้าใจจริงๆค่ะ หลายคนยังใช้ใช้ชีวิตปกติ อุ้มลูกออกไปไหนมาไหน ไม่มีการป้องกัน ดิฉันใส่หน้ากากแบบกัน n95 อันใหญ่มีแต่คนมองด้วยสายตาว่าแปลกและเว่อร์แถมที่สำคัญหาซื้อยาก ราคาสูงใช้ต้องเปลี่ยน คนหาเช้ากินค่ำ รายได้ไม่เยอะก็ลำบากที่ต้องหาแบบนั้นมาใส่ป้องกัน เด็กที่ต้องนั่งมอไซด์ไปเรียน อากาศแย่มาเป็นเดือน ยังทำทุกอย่างยังทำเหมือนไม่วิกฤต ไม่มีมาตราการที่ชัดเจนเลย เศร้าใจมาก สงสารเด็ก ผู้ป่วย คนท้อง คนชรา,"['เศร้าใจ', 'คน', 'ชีวิต', 'ปกติ', 'ลูก', 'ป้องกัน', 'ใส่', 'หน้า', 'กาก', 'คน', 'แถม', 'หา', 'ซื้อ', 'ราคา', 'คน', 'ลำบาก', 'หา', 'ใส่', 'ป้องกัน', 'เด็ก', 'นั่ง', 'เรียน', 'อากาศ', 'แย่', 'เดือน', 'ทำ', 'ทำ', 'เหมือน', 'วิกฤต', 'มาตราการ', 'ชัดเจน', 'เศร้าใจ', 'สงสาร', 'เด็ก', 'ป่วย', 'คน', 'ท้อง', 'คน']",1,1
เป็นคุณแม่ที่รับราชการค่ะ ที่บ้านไม่มีรถ เดินถนน นั่งรถเมล์เหมือนคนส่วนใหญ่ของประเทศนี้ ภูมิแพ้ขึ้นทุกวัน กินทั้งยาแก้แพ้ และพ่นยาแก้อาการหอบหืด รู้สึกอึดอัดเหมือนกันที่รัฐบาล และส่วนราชการที่เกี่ยวข้องไม่มีมาตรการที่เด็ดขาดในการแก้ปัญหา เหมือนทุกคนต้องทนๆ กันไป ชีวิตใครดูแลกันเอง แต่ความเป็นจริง เราทุกคนเลือกพื้นที่อยู่ ย้ายบ้านหนีไม่ได้ และเลือกอากาศที่หายใจไม่ได้ อยากให้ทุกภาคส่วนที่มีอำนาจในการตัดสินใจจริงจังมากกว่านี้ค่ะ,"['แม่', 'ราชการ', 'บ้าน', 'รถ', 'เดิน', 'ถนน', 'นั่ง', 'รถ', 'เมล์', 'เหมือน', 'คน', 'ประเทศ', 'ภูมิแพ้', 'กิน', 'ยา', 'แก้', 'แพ้', 'พ่น', 'ยา', 'แก้', 'อาการ', 'หอบหืด', 'รู้สึก', 'อึดอัด', 'เหมือน', 'รัฐบาล', 'ราชการ', 'มาตรการ', 'เด็ดขาด', 'แก้', 'ปัญหา', 'เหมือน', 'คน', 'ทน', 'ชีวิต', 'ดูแล', 'คน', 'เลือก', 'พื้นที่', 'ย้าย', 'บ้าน', 'หนี', 'เลือก', 'อากาศ', 'หายใจ', 'อำนาจ', 'ตัดสินใจ']",2,1
ตอนนี้รัดทะบาน ห่วงแต่การสืบทอดอำนาจ สนจัยอะไรที่ไหนกัน ทนได้ก้อทนกันไป ทนไม่ได้ก้อทำอะไรไม่ได้ ประเทศไทย จะไม่มีคนดีๆ มาบริหารประเทศเลยหรอ,"['ตอน', 'ห่วง', 'อำนาจ', 'ทน', 'ก้อ', 'ทน', 'ทน', 'ก้อ', 'ทำ', 'ประเทศไทย', 'คน', 'ดี', 'บริหาร', 'ประเทศ', 'หรอ']",0,-1
ลูกสาวมาเล่าให้ฟังเมื่อวานคุณครูพูดถึงเรื่องปัญหาฝุ่นควัน...ฯลฯแนะนำเด็กๆ ให้สวมหน้ากาก...ฯแต่..คุณครูที่อธิบาย ก็ไม่เคยใส่นะคะเด็กสงสัยว่าแล้วทำไมครูไม่ทำเป็นตัวอย่างก่อน (ไม่กล้าที่จะถามนะคะ แค่คิดในใจ),"['ลูก', 'สาว', 'เล่า', 'ฟัง', 'วาน', 'ครู', 'เรื่อง', 'ปัญหา', 'ฝุ่น', 'ควัน', 'แนะนำ', 'เด็ก', 'สวม', 'หน้ากาก', 'ใส่', 'เด็ก', 'สงสัย', 'ครู', 'ทำ', 'ถาม', 'ใจ']",5,1
คือแบบ ไม่มีการตายให้เห็นปัจจุบันทันด่วน ก็เลยไม่วิตกว่าเรื่องนี้ มันเป็นวิกฤติของประเทศ...มังคะ..,"['ตาย', 'วิตก', 'เรื่อง', 'วิกฤติ', 'ประเทศ']",0,-1
นายกฯชอบออกมาให้คำแนะนำ ทั้งที่ตัวเองคือคนที่มีอำนาจสั่งการ มีหน้าที่ปฏิบัติและแต่ละนโยบายที่จะนำไปปฏิบัติ ควรกลั่นกรอง ไม่ใช่ใช้แค่มโนเช่น หมูปิ้ง ฉีดน้ำ ห้ามข้าราชการขับรถ ฯลฯการใช้นโยบายห้ามขับในบางพื้นที่การเลือกทะเบียนวันคู่วันคี่เหมือนประเทศที่เป็นสากลไม่ใช่เรื่องน่าอาย ไม่ควรคิดนโยบายที่แตกต่างแต่ไม่ได้เรื่องแล้วข้าราชการกระทรวงไหนที่คิดนโยบายผิดเพี้ยนแล้วพูดออกมาก็ควรเรียกไปตักเตือน,"['นายก', 'ชอบ', 'แนะนำ', 'ตัว', 'คน', 'อำนาจ', 'สั่งการ', 'หน้าที่', 'นโยบาย', 'ฉีด', 'น้ำ', 'ห้าม', 'ราชการ', 'ขับ', 'รถ', 'นโยบาย', 'ห้าม', 'ขับ', 'พื้นที่', 'เลือก', 'ทะเบียน', 'คู่', 'คี่', 'เหมือน', 'ประเทศ', 'สากล', 'เรื่อง', 'อาย', 'นโยบาย', 'เรื่อง', 'ราชการ', 'นโยบาย']",0,-1
