,comment,tokenized_comment,label,predicted_label,marks
10,ทุกคนล้วนแล้ว แต่มีหน้าที่ของเขา คนเราควรให้โอกาสซึ่งกันและกันนะครับให้คิดว่าคนดีก็มี คนไม่ดีก็มีนะครับ ผมไม่ได้โลกสวยนะครับ แต่ผมก็ทำงานในด้านบริการเหมือนกัน ถ้าไม่มายืนตรงจุดที่เขายืนคุณก็จะไม่รู้ คิดบวกนะครับ พนักงานเหมือนกันนะครับ ปรับปรุงตรงไหนแล้วดี ก็ควรที่ต้องปรับปรุงแก้ไขส่วนที่ผิดพลาดของตัวเรา ดีแล้วยังดีได้อีกนะครับ Mc.Tom,"['คน', 'หน้าที่', 'คน', 'โอกาส', 'คน', 'ดี', 'คน', 'ดี', 'ผม', 'โลก', 'ผม', 'ทำ', 'งาน', 'บริการ', 'เหมือน', 'ยืน', 'จุด', 'ยืน', 'รู้', 'พนักงาน', 'เหมือน', 'ปรับปรุง', 'ดี', 'ปรับปรุง', 'ตัว', 'ดี', 'ดี']",,5,0
11,พนักงานทำหน้าเป็นตูดเกือบทุกคน ประมาณว่าเหมือนถูกบังคับให้มาทำงานยังงั้นแหละ เห็นแล้วพลอย เครียดไปด้วย,"['พนักงาน', 'ทำ', 'หน้า', 'ตูด', 'คน', 'เหมือน', 'บังคับ', 'ทำ', 'งาน', 'งั้น', 'เครียด']",,5,1
12,เอ็กเพรสนี่มีการอบรมพนักงานบ้างป่าว ควบคุมอารมไม่เป็น ถามราคาต้องทำหน้าไม่พอใจคือถ้าติดราคาก็ไม่ถามหรอกราคาไม่มี แถมให้ยิงบาโค้ดสมาชิก ยิงส่วนลดต้องทำหน้าแบบรำคาน กดเครื่องแรงๆประชดประชัน เข้าร้านอื่นก็ได้วะ,"['เอ็กเพรส', 'อบรม', 'พนักงาน', 'ป่าว', 'อารม', 'ถาม', 'ราคา', 'ทำ', 'หน้า', 'พอใจ', 'ติด', 'ราคา', 'ถาม', 'หรอก', 'ราคา', 'แถม', 'ยิง', 'สมาชิก', 'ยิง', 'ลด', 'ทำ', 'หน้า', 'กด', 'ร้าน']",,1,1
13,เค้าเตอร์มีเกือบ100ช่อง เปิดให้จ่ายตังไม่ถึง10ช่อง พี่ทำไว้โก้ๆหรอ ต่อคิวจ่ายตังกันไปดิ 10กว่านาที,"['เค้าเตอร์', 'ช่อง', 'จ่าย', 'ตัง', 'ช่อง', 'ทำ', 'หรอ', 'คิว', 'จ่าย', 'ตัง', 'นาที']",,2,1
14,เลือกผัก เลือกแล้ว เลือกอีก พอมาคิดเงินพนักงานยัดผักใส่ถุงจนผักหัก โอ้ยใจ ใจสลาย,"['เลือก', 'ผัก', 'เลือก', 'เลือก', 'เงิน', 'พนักงาน', 'ยัด', 'ผัก', 'ใส่', 'ถุง', 'ผัก', 'หัก']",,10,-1
15,มารยาทพนักงาน เซเว่นยังคุณภาพดีกว่าหน่อยนึง แบบว่าเหี้ยทั้งคู่เลย,"['มารยาท', 'พนักงาน', 'เซเว่น', 'คุณภาพ', 'ดี', 'นึง', 'เหี้ย', 'คู่']",,6,1
16,ราคาสินค้า ตอนโปรโมชั่น บางอันหาไม่เจอ เหมือนพนักงานเอาไปซ่อน ให้ลูกค้าวิ่งไล่หา #ไอ้ซั้ซไม่ใช่มอญซ่อนผ้า ปล.รปภ บางสาขา หน้าตาดุมาก เวลาเข้าห้างนึกว่าทำไรผิดตลอดเวลา 😂,"['ราคา', 'สินค้า', 'ตอน', 'โปรโมชั่น', 'หา', 'เจอ', 'เหมือน', 'พนักงาน', 'ซ่อน', 'ลูกค้า', 'วิ่ง', 'ไล่', 'หา', 'ไอ้', 'ซ่อน', 'ผ้า', 'หน้าตา', 'เวลา', 'ห้าง', 'นึก', 'เวลา']",,7,-1
17,เทสโก้โลตัสสาขาบางกะปิทีวีตัวนี้อยู่บริเวณหน้าร้าน Treephaphan Spa ชั้นลอย(ชั้นเดียวกับไปรษณีย์)ใกล้ประตูออกลานจอดรถวันนั้นผมเดินชนเต็มๆ และผมเชื่อว่าต้องมีลูกค้าท่านอื่นเดินชนทีวีตัวนี้มาแล้วหลายครั้ง มันไม่ควรอยู่ตรงนี้นะครับเพราะนี่คือทางเดิน และมันก็ไม่ได้ชิดเข้ามุมกำแพงเลย เดินเลี้ยวขวาจากทีวีตัวนี้ไปก็ลงไปชั้นG ซึ่งมันเป็นทางหลักที่คนเข็นรถลงจากซุปเปอร์ฯใช้ประจำนะครับ ไม่ใช่ทางลับที่ไม่มีคนเดินผ่าน เพดานชั้นนี้ก็ค่อนข้างต่ำอยู่แล้วแถมเอาทีวีตัวนี้มาติด ต้องคนที่มีความสูง150ลงไปเท่านั้นแหล่ะครับที่จะเดินลอดผ่านได้ (ผมสูง175)ผมเชื่อว่าทางตัวเทสโก้โลตัสยึดมั่นในการบริการที่ดีและอำนวยความสะดวกต่อลูกค้าที่มาใช้บริการ แต่ทีวีตัวนี้ ***ไม่อำนวยความสะดวก*** แถมยังทำผมเจ็บตัวอีก ผมเข้าใจว่าผมเองในฐานะลูกค้าก็ควรระมัดระวังตัวเองให้มากกว่านี้อยู่แล้ว แต่สถานที่ก็ควรมีการจัดการที่ดี สะดวก ปลอดภัยร่วมด้วยนะครับหวังว่าจะได้รับการแก้ไขนะครับ เพื่อที่จะได้ไม่มีใครเจ็บตัวอีก ขอบคุณ!,"['สาขา', 'กะปิ', 'ตัว', 'บริเวณ', 'หน้า', 'ร้าน', 'ชั้น', 'ชั้น', 'ไปรษณีย์', 'ประตู', 'จอด', 'รถ', 'ผม', 'เดิน', 'ชน', 'เต็ม', 'ผม', 'ลูกค้า', 'เดิน', 'ชน', 'ตัว', 'เดิน', 'มุม', 'เดิน', 'ขวา', 'ตัว', 'ชั้น', 'หลัก', 'คน', 'เข็น', 'รถ', 'ประจำ', 'คน', 'เดิน', 'ชั้น', 'ต่ำ', 'อยู่แล้ว', 'แถม', 'ตัว', 'ติด', 'คน', 'เดิน', 'ผม', 'ผม', 'ตัว', 'บริการ', 'ดี', 'สะดวก', 'ลูกค้า', 'บริการ', 'ตัว', 'สะดวก', 'แถม', 'ทำ', 'ผม', 'เจ็บ', 'ตัว', 'ผม', 'ผม', 'ฐานะ', 'ลูกค้า', 'ตัว', 'อยู่แล้ว', 'ดี', 'สะดวก', 'หวัง', 'เจ็บ', 'ตัว', 'ขอบคุณ']",,5,1
18,ถุงบางมากนี่เรื่องจริง ลูกค้าบางคนเค้าไม่ได้มีรถส่วนตัว หิ้วขึ้นสองแถว ขึ้นรถเมล์ ก็ต้องเข้าใจเค้าด้วย ขอถุงซ้อนเพิ่มก็กลายเป็นเพิ่มการใช้ถุงพลาสติกเข้าไปอีก ก็ทำให้มันหนากว่านี้หน่อยแล้วใช้ใบเดียวไม่ดีกว่าเหรออย่างโลตัสเอกเพรส ส่วนใหญ่คืออยู่ในเขตหมู่บ้าน ลูกค้าเดินมาซื้อ ขี่จักรยานมาซื้อ ถ้าไม่ขอให้ซ้อนถุงนี่หิ้วกลับไม่ถึงบ้านค่ะ บางทีเลยต้องเข้า 7-11 ถ้าซื้อของที่มีเหมือนกัน,"['ถุง', 'เรื่อง', 'ลูกค้า', 'คน', 'เค้า', 'รถ', 'ตัว', 'หิ้ว', 'สอง', 'แถว', 'รถ', 'เค้า', 'ถุง', 'ซ้อน', 'ถุง', 'พลาสติก', 'ทำ', 'หนา', 'ใบ', 'ดี', 'เหรอ', 'เขต', 'บ้าน', 'ลูกค้า', 'เดิน', 'ซื้อ', 'ซื้อ', 'ซ้อน', 'ถุง', 'หิ้ว', 'บ้าน', 'ซื้อ', 'เหมือน']",,10,1
19,น่าเห็นใจนะฮะ พนักงานโดนสวดยับตั้งแต่เช้า พอหน้าบูด ลูกค้าก็ไม่ชอบ,"['เห็นใจ', 'ฮะ', 'พนักงาน', 'โดน', 'เช้า', 'หน้า', 'บูด', 'ลูกค้า', 'ชอบ']",,3,1
20,พนักงานเอ็กเพรส บางสาขาหน้าบูดมาก  และทำงานช้ามากกกกกกถามอะไร ไม่ค่อยรู้เรื่อง แก้ไขสถานการณ์เฉพาะหน้าได้ไม่ดี ฟีลแบบ ฉันยืนรอจ่ายตังค์ มีคนยืนเคาเตอร์ 3 คน เปิดแค่เลนเดียว สองคนยืนคุยกัน รุ่นน้องทำงานคนเดียวอะไรเงี๊ย ลูกค้าจะรอ 4-5 คนก็รอไปเถอะ น่ารำคาญมากบางทีไอ้เราก็รอได้นะ แต่นึกโมโหแทนเด็กใหม่อะ โอ๊ยหนู... โดนเอาเปรียบแบบน้ำท่วมปาก พูดอะไรก็ไม่ได้ นี่ลูกค้าแบกของหนักๆรองี้ ไม่มีท่าทีว่าจะรีบกับเรา,"['พนักงาน', 'เอ็กเพรส', 'สาขา', 'หน้า', 'บูด', 'ทำ', 'งาน', 'กกกกก', 'ถาม', 'รู้', 'เรื่อง', 'ดี', 'ยืน', 'รอ', 'จ่าย', 'ตังค์', 'คน', 'ยืน', 'เคาเตอร์', 'คน', 'สอง', 'คน', 'ยืน', 'คุย', 'น้อง', 'ทำ', 'งาน', 'คน', 'ลูกค้า', 'รอ', 'คน', 'รอ', 'รำคาญ', 'ไอ้', 'รอ', 'นึก', 'โมโห', 'แทน', 'เด็ก', 'อะ', 'โดน', 'น้ำ', 'ปาก', 'ลูกค้า', 'หนัก', 'รอ', 'งี้', 'รีบ']",,5,1
21,ช่องจ่ายเยอะ แต่เปิดไม่กี่ช่อง  คิวยาวไป เพลียยยยยพระราม 3  เลยค่ะ,"['ช่อง', 'จ่าย', 'กี่', 'ช่อง', 'คิว']",,2,0
22,โลตัสเอ็กซ์เพรสสาขาหน้า รพ.สรรพสิทธิประสงค์ จ.อุบลราชธานี และสาขาใหญ่ถนนชยางกูร ไม่ว่าจะแผนกใด ๆ  สีหน้า ท่าทาง การบริการ เซอร์วิสมายด์ ไม่มี !!!!!!!  อยากคอมเพลนหลายครั้งแล้วค่ะ ที่ทำได้ก็แค่ปล่อยผ่าน จนตอนนี้มันทำให้เราไม่อยากเข้าไปซื้อของที่ห้างนี้เลย ..,"['โลตัสเอ็กซ์', 'สาขา', 'หน้า', 'สาขา', 'แผนก', 'ใด', 'สีหน้า', 'ท่าทาง', 'บริการ', 'เซอร์วิสมายด์', 'ทำ', 'ปล่อย', 'ตอน', 'ทำ', 'ซื้อ', 'ห้าง']",,0,-1
23,เช็คเอาท์ ... หน้าจะงอไปไหนสวัสดีค่ะมีอะไรให้ช่วยมั้ยคะโอกาสหน้าเชิญใหม่ค่ะมีคลับการ์ดมั้ยคะแค่เนี้ยะ ... จะตายมั้ย,"['เช็ค', 'หน้า', 'งอ', 'สวัสดี', 'โอกาส', 'หน้า', 'คลับ', 'การ์ด', 'ตาย']",,0,-1
24,"พนักงานโลตัสสัตหีบบริการดีฮะ  แต่อยากบอกว่าถ้าลูกค้าประจำที่คุณจำหน้าได้มาซื้อของไม่ต้องตะโกนบอกเพื่อนก็ได้ฮะว่า""เฮ้ยๆ คนนี้เค้าไม่ชอบให้ใส่ถุง""    แบบบอกแค่ว่า ""ลูกค้าเข็นของไปใส่ท้ายรถเอง "" ก็ได้  ผมอายฮะ","['พนักงาน', 'บริการ', 'ดี', 'ฮะ', 'ลูกค้า', 'ประจำ', 'หน้า', 'ซื้อ', 'ตะโกน', 'เพื่อน', 'ฮะ', 'เฮ้ย', 'คน', 'เค้า', 'ชอบ', 'ใส่', 'ถุง', 'ลูกค้า', 'เข็น', 'ใส่', 'รถ', 'ผม']",,10,0
25,ราคาบนเชลล์ช่วยติดให้ตรงกับสินค้าด้วยค่ะ เคยซื้อสังฆทานในป้ายบอก 199 พอคิดจริง 299 อิเวนน,"['ราคา', 'ติด', 'สินค้า', 'ซื้อ', 'ป้าย']",,14,1
26,ค.ว.ย ค่ะ พนักงานแม่งเกือบทุกคนเลย ไม่มีความคิด วิเคราะห์ แยกแยะไม่ได้ว่าเวลาลูกค้าซื้อผัก ซื้อหมูบด น้ำยาล้างจาน น้ำปลา หรืออะไรก็แล้วแต่ ถุงมึงมีใบใหญ่สุดแค่ไหนมึงเอามาใส่แม่งรวมกันหมดทุกอย่าง ผักกูเลือกดีๆเอาไม่ช้ำ อีดอกเอาไว้ล่างสุด เอาแพ็คหมูบดทับอีกเหี้ย ยัง‼️ยังไม่พอมึงเอาน้ำยาล้างจานน้ำปลาว่าทับแพ็คหมู สรุปกูถึงบ้าน ผักเละ แพ็คหมูแตก ติดอยู่กับถุงน้ำยาล้างจาน อีสัส เอาไว้ให้โครตเหง้ามึงกินมั้ยได้ของแบบนี้ แยกไม่เป็น สมองคิดไม่ออกว่ามันต้องแยก🖕🏻🖕🏻🖕🏻,"['ควย', 'พนักงาน', 'แม่ง', 'คน', 'เวลา', 'ลูกค้า', 'ซื้อ', 'ผัก', 'ซื้อ', 'หมู', 'บด', 'น้ำยา', 'ล้าง', 'น้ำ', 'ปลา', 'ถุง', 'ใบ', 'ใส่', 'แม่ง', 'เลือก', 'ดี', 'ช้ำ', 'อี', 'ดอก', 'ล่าง', 'หมู', 'เหี้ย', 'น้ำยา', 'ล้าง', 'น้ำ', 'ปลา', 'หมู', 'สรุป', 'บ้าน', 'ผัก', 'เละ', 'หมู', 'แตก', 'ติด', 'ถุง', 'น้ำยา', 'ล้าง', 'กิน', 'แยก', 'แยก']",,10,-1
27,โลตัสเอ็กซ์​เพลสสาขายางตลาด.. จ.กาฬสินธุ์​ค่ะแย่มากวันนั้นไปซื้อแพมเพิสให้ลูกยืนรอคิดเงินมันไม่คิดให้ทั้งที่ไม่มีลุกค้ามันยืนคุยกันสองคนหยอกล้อไปมามองหน้าเราเฉยเลยไม่พุดอะไรสักคำยืนรอ3นาทีได้ค่ะตอนนั้นโมโหมากว่าจะด่าเหมือนกันเลยไม่ทำ​  เดินมาอีกช่องนึงเขาก็คิดเงินให้ประเด็น​คือ1มันไม่ใส่ใจลุกค้าถึงจะซื้อชิ้นเดียวก็เถอะ2ถ้าเครื่องไม่พร้อมใช้งานมันน่าจะบอกนี่มันยืนยุ2คน2เคาเตอร์​คิดออกมั้ยเวลายืนคิดเงินเคาเตอร์​มันหันหลังชนกันนี่มันเล่นหันหน้ามาคุยกันหยอกล้อกันไม่คิดเงินไม่สนใจเรายืนรอตั้งนานสุดท้ายก็เลยเดินไปช่องอื่นเสียความรุ้สึกมาก,"['สาขา', 'แย่', 'ซื้อ', 'ลูก', 'ยืน', 'รอ', 'เงิน', 'ค้า', 'ยืน', 'คุย', 'สอง', 'คน', 'หน้า', 'สัก', 'ยืน', 'รอ', 'นาที', 'ตอน', 'โมโห', 'ด่า', 'เหมือน', 'ทำ', 'เดิน', 'เงิน', 'ใส่ใจ', 'ค้า', 'ซื้อ', 'ชิ้น', 'เครื่อง', 'งาน', 'ยืน', 'เคาเตอร์', 'เวลา', 'ยืน', 'เงิน', 'หัน', 'ชน', 'เล่น', 'หัน', 'หน้า', 'คุย', 'เงิน', 'สนใจ', 'ยืน', 'รอ', 'เดิน', 'ช่อง']",,12,1
28,Express ทุกสาขา!!! พนักงานหายไปไหน?? ต้องเดินตามหา พอเจอแลเวเรียกมาคิดเงิน ก็อารมณ์เสียหน้าบูด... สงสัยลูกค้าจะรบกวนเค้ามั้ง??? ของน่ะ จะขายมั้ย???,"['สาขา', 'พนักงาน', 'หาย', 'เดิน', 'หา', 'เจอ', 'เงิน', 'อารมณ์', 'หน้า', 'บูด', 'สงสัย', 'ลูกค้า', 'รบกวน', 'เค้า', 'มั้ง', 'ขาย']",,3,0
29,โลตลาด พนง.ปากตลาด นินทาลค.เผาขน ตะโกนโหวกเหวกข้ามหัวลค. วันหวยออกสนั่นเป็นพิเศษ เห็นพฤติกรรมแล้วแย่ ปรับปรุงภาพลักษณ์เถอะ,"['พนง', 'ตะโกน', 'ข้าม', 'หวย', 'พิเศษ', 'พฤติกรรม', 'แย่', 'ปรับปรุง']",,0,-1
30,ไม่อยากจะเม้าความสาระพัดของโลตัส ในฐานะที่เคยเป็นพนง.มาก่อน อิอิ,"['โลตัส', 'ฐานะ', 'พนง']",,11,1
31,พนักงานเหมือนไม่อยากทำงาน หน้าหงิกหน้างอ แต่ก็มีบางคนที่น่ารัก พูดดีส่วนน้อย,"['พนักงาน', 'เหมือน', 'ทำ', 'งาน', 'หน้า', 'งอ', 'คน', 'รัก', 'ดี']",,5,1
32,ไม่ต้องตัดแต้มเป็นคูปองเงินได้ไหมอ่ะ ไม่เคยได้ใช้เพราะ คูปองมันหายก่อน เอาแบบ พอไปซื้อแล้วแต้มครบค่อยถามว่าตัดแต้มไหมคะ อะไรแบบนี้จะดีกว่า  แล้วยังมีโบชัวมาบอกอีกนะ แต่ม เท่านี้แล้วเป็นตั๋วหนังได้ แล้วเล่นตัดไปแล้วมันเหลือแต้ม150จะทำไรได้,"['คู', 'ปอง', 'เงิน', 'ไหม', 'อ่ะ', 'คูปอง', 'หาย', 'ซื้อ', 'แต้ม', 'ถาม', 'ตัด', 'แต้ม', 'ไหม', 'ดี', 'เล่น', 'ตัด', 'แต้ม']",,0,-1
33,ช่องจ่ายเงินรื้ออกบ้างก็ได้ถ้าไม่มีคนทำ วันเสาร์อาทิตย์รอนานโคตร,"['ช่อง', 'จ่าย', 'เงิน', 'คน', 'ทำ', 'เสาร์', 'อาทิตย์', 'โคตร']",,2,1
34,ตะคิดเป็น 25 สต. 50สต. 75สต. ทำไม ในเมื่อลวท้ายด้วยราคาพวกนี้ ตอนคิดเงินปัดเศษขึ้นไปเต็มบาทเลยพอเราเอาเหรียญสตางค์ที่เป็นเศษให้ ชักสีหน้า ไม่อยากรับ,"['ราคา', 'ตอน', 'เงิน', 'เศษ', 'เต็ม', 'บาท', 'สตางค์', 'เศษ', 'ชัก', 'สีหน้า']",,1,1
35,Lotus สาขายโสธร-เปิดใหม่ พนง.แอบโกง Give Card ลูกค้า(กุเอง) จ่ายหลายใบแล้วทำเนียนว่ามีใบนึงชำรุดใช้ไม่ได้แล้วพอขอคืนก็สลับใบที่รูดใช้แล้วมาแทน แจ้งผู้จัดการขอดูกล้องวงจรปิดไม่ยอมให้ดูเลยต้องขู่ว่าจะแจ้งความถึงยอมคืนให้ แต่ไม่มีคำขอโทษใดๆ จาก พนง.-ติด…See more,"['พนง', 'ลูกค้า', 'กุ', 'จ่าย', 'ใบ', 'ใบ', 'นึง', 'คืน', 'สลับ', 'ใบ', 'แทน', 'แจ้ง', 'ดู', 'กล้อง', 'วงจรปิด', 'ดู', 'แจ้ง', 'คืน', 'ขอโทษ', 'ใด', 'พนง', 'ติด']",,0,-1
36,เราก็ไม่รู้ระบบการทำงานของเค้านะ แต่เวลาไปซื้อของชอบเอาของมาเติม ลากเกะกะกันไปหมดทั้งรถเข็นคนซื้อทั้งรถพนักงาน แล้วก็ติดขัดจะไปต่อก็ไม่ได้จะถอยก็ไม่ได้ แล้วไม่ใช่จะรีบเติมให้เสร็จนะ ยืนเล่นกันแหย่กัน เกะกะไปหมด โลตัสเอ็กซ์เพรส เวลาจ่ายด้วยบัตรเครดิตเครื่องเสียตลอด กริยาพนักงานก็แย่,"['รู้', 'ระบบ', 'ทำ', 'งาน', 'เค้า', 'เวลา', 'ซื้อ', 'ชอบ', 'ลาก', 'เกะกะ', 'รถ', 'เข็น', 'คน', 'ซื้อ', 'รถ', 'พนักงาน', 'รีบ', 'เติม', 'ยืน', 'เล่น', 'เกะกะ', 'โลตัส', 'เอ็กซ์เพรส', 'เวลา', 'จ่าย', 'บัตร', 'เครื่อง', 'กริยา', 'พนักงาน', 'แย่']",,13,-1
37,ปรับปรุงเรื่องของพรีเมี่ยม จะทำมาทำห่าไร กูอุตส่าเก็บแสตมป์ เอาไปแลก บอกให้ลงชื่อไว้ ของมาจะโทแจ้ง 3 เดือนผ่านไป ไม่มีการติดต่อใดๆ กูไปถามสาขาที่จอง บอกของยังไม่มา อีกเดือนนึงไปถาม ของก็ยังไม่มา นี่กูรอมาจะปีนึงละ สรุปยังไม่ได้ของ ห่วยแตก ทำของพรีเมี่ยมออกมามันต้องมีกำหนดการรับของในการจองสิ นี่แม่งให้เศษกระดาษมา ห่วยแตกสุดๆ,"['ปรับปรุง', 'เรื่อง', 'ทำ', 'ทำ', 'แสตมป์', 'แลก', 'ชื่อ', 'เดือน', 'ใด', 'ถาม', 'สาขา', 'จอง', 'เดือน', 'นึง', 'ถาม', 'ปี', 'นึง', 'สรุป', 'ห่วย', 'แตก', 'ทำ', 'จอง', 'สิ', 'แม่ง', 'เศษ', 'กระดาษ', 'ห่วย', 'แตก']",,0,-1
38,สาขาใหญ่ๆ คนเยอะต่อแถวจ่ายเงินช้า ช่องเยอะแต่ไม่เปิดทำมาเพื่อ???,"['สาขา', 'คน', 'แถว', 'จ่าย', 'เงิน', 'ช่อง', 'ทำ']",,2,1
